root_mean_squared_error:
[0.43739816546440125, 0.41273343563079834, 0.3973183333873749, 0.3868577778339386, 0.379321426153183, 0.3736361265182495, 0.3684769868850708, 0.36401060223579407, 0.35999128222465515, 0.3572036623954773]
val_root_mean_squared_error:
[0.5157141089439392, 0.4970012605190277, 0.4719448387622833, 0.4744667410850525, 0.46812567114830017, 0.5362686514854431, 0.5034027099609375, 0.4564872682094574, 0.4680173397064209, 0.4720686376094818]

DenseNet121_AroVal_E10_B8_SGD0.0001_AUGFULL_SHUFFLE
Images: 3999
Arousal average RMSE: 0.44729561
Valence average RMSE: 0.51221723
Average total RMSE: 0.47975642

GT_aro	pred_aro	GT_val	pred_val
-0.07763980	0.08794145	-0.17684600	-0.08603278
0.18389500	0.09824544	-0.36778900	-0.27838585
0.53232700	0.11972457	-0.06291130	-0.27534607
-0.00483933	0.11174665	0.00483933	0.11586855
-0.50793600	0.11558545	-0.64285700	0.01695045
0.48316400	0.16917026	-0.59772900	-0.35236168
0.28571400	0.15588444	-0.30952400	-0.22829403
-0.37926700	0.14087421	-0.14749300	-0.19218998
0.65814900	0.14268230	-0.64847100	-0.18881118
0.61111100	0.01096226	-0.62698400	0.28649083
0.35714300	0.09132586	-0.53968300	-0.27854696
0.11588700	0.12526579	0.53729500	0.76608926
0.79365100	0.19194260	-0.24603200	0.42064941
-0.37301600	0.13176082	-0.79365100	0.15181811
0.65331000	-0.01067804	-0.64363100	0.40094909
0.93883100	0.14240818	-0.15969800	-0.17534083
-0.22222200	0.12840973	-0.57142900	-0.24380453
0.75396800	0.06725309	-0.23809500	0.06017532
-0.17684600	0.08517263	-0.56504500	0.00609998
-0.23499600	0.07867257	-0.85476700	0.11569378
0.56349200	0.09459253	-0.18254000	0.32997635
0.75026800	0.12075989	0.06890210	-0.12628688
-0.15276000	0.16216786	-0.31605600	-0.11976664
0.33391400	0.08611032	-0.30003900	0.24322058
0.08730160	0.01143627	0.61111100	0.17110093
0.73326400	0.10020508	0.22429300	-0.03193861
-0.38888900	0.14249232	-0.76984100	-0.11328560
0.47619000	0.01850874	-0.69841300	-0.07102127
0.64847100	0.03486543	-0.64363100	0.57242870
-0.32408600	0.11635713	-0.84478400	-0.01567746
0.23712700	-0.01108386	-0.23712700	0.33052438
0.80385800	0.05932921	0.18756700	-0.12940733
0.63259600	0.06070499	-0.34867500	0.07052598
-0.06775070	0.09068061	-0.09194730	-0.11643800
-0.34843200	0.02660557	-0.55652300	0.18719167
-0.20287900	0.01929661	-0.73878400	-0.07345468
0.08858350	0.00046601	0.92256500	0.70430928
0.54761900	0.08897301	-0.17460300	0.23759778
0.65814900	0.03034725	-0.64847100	0.39218718
0.52505700	0.08398148	-0.43928100	-0.18546847
0.65873000	0.15273762	-0.59523800	-0.09385680
0.75977500	0.13092867	0.39682500	-0.03598410
0.45301300	0.14956996	-0.75853300	-0.23988326
0.48740500	0.04858054	0.12508600	0.21279764
0.15079400	0.11708112	0.30952400	0.02857511
0.42102200	0.17060031	-0.75493600	-0.19807090
0.27777800	0.10167212	-0.46031700	-0.10382038
0.35863700	0.10698458	0.78700900	0.67958397
0.79013900	0.14681733	-0.16856300	-0.20253338
0.76461500	0.06432232	0.36778900	0.15371141
0.37262900	0.10650792	-0.75009700	0.32881272
0.76719600	0.02953667	0.19179900	0.19016676
0.45238100	0.23285070	-0.72222200	-0.17099044
0.66695400	0.08321784	-0.65261000	0.29982173
-0.03174600	0.03130950	-0.03968250	0.11279288
0.02419670	0.17505290	0.17421600	0.15868315
0.78397200	0.00507881	0.36778900	0.42015493
0.74603200	0.00249529	0.16666700	0.00932626
0.90157400	0.26132873	-0.16437500	0.13375507
0.13492100	0.06567951	0.91269800	0.46483946
0.89682500	0.14257056	0.23809500	0.11930741
0.16666700	0.04712397	0.82539700	0.55059272
-0.06349210	0.08210202	-0.56349200	-0.07753314
0.01587300	0.05832492	0.54761900	-0.10640012
0.82539700	0.17199151	-0.15873000	-0.00402299
0.62911300	0.21761657	-0.10162600	0.32162446
0.66666700	0.07309993	0.15079400	-0.14304426
0.07936510	0.14902017	0.35714300	0.12600724
-0.16437500	0.07910871	-0.79697100	0.09528407
-0.28571400	0.07893665	-0.61111100	0.10010096
-0.23809500	0.14637913	-0.85714300	-0.17891474
-0.28087500	0.17928325	-0.94417100	-0.06520712
-0.24680600	0.07080556	-0.84204400	0.37445381
-0.18389500	0.12039501	-0.73557900	-0.30796558
-0.28571400	0.06941185	-0.65079400	-0.05943661
0.76945400	0.07901933	-0.17905500	0.11899333
-0.00793651	0.13528627	0.51587300	0.12778795
0.04593480	0.11122397	0.76557900	0.29814321
0.53232700	0.09514248	-0.70170300	0.17524648
0.08195310	0.14827575	-0.03019320	-0.03315563
0.34075200	0.10836264	-0.14234000	-0.11775106
0.64363100	0.18016061	-0.11130500	-0.13535173
0.71428600	0.14491183	0.52380900	0.07581630
0.63879200	0.04204513	0.22260900	0.26795399
0.09523810	0.02842359	0.57142900	0.34518287
0.15802800	0.10922392	-0.44774500	0.07117739
-0.34127000	0.25543275	-0.23809500	-0.22555174
0.46825400	0.15588121	-0.67460300	0.04265122
0.68234600	0.03398543	-0.29519900	0.28053018
-0.21597100	0.11248628	0.13169000	-0.03210219
-0.14034100	0.05049574	0.90011600	0.24681528
0.45828100	0.18639171	-0.71112500	-0.40766513
0.42586100	0.11715994	-0.72106100	0.00561050
0.74525700	0.11011298	0.39198600	0.49632195
0.34075200	0.07251326	-0.59955100	0.18288724
0.47619000	0.08940768	-0.68254000	0.09753639
0.52264800	0.10226623	-0.76945400	0.17453937
0.08226870	0.12317714	0.49845100	0.71153325
0.05479180	0.14862099	-0.04482960	0.10138962
0.48316400	0.15447055	-0.59772900	0.08780218
-0.46031700	0.12746048	-0.67460300	-0.06438896
-0.00862664	0.15282071	-0.00431332	-0.31460038
0.00000000	0.03853784	0.53968300	0.45389593
0.41618300	0.06658229	-0.04355400	0.21464565
0.11130500	0.18792595	0.77429300	-0.14405806
0.96395900	0.15153863	-0.05033730	-0.06838965
0.00000000	0.06357568	0.51587300	0.42395395
0.27100300	0.09673986	-0.09678670	-0.10644017
0.46527300	0.07584427	-0.44967800	0.02739690
0.94851000	0.10886092	-0.05323270	0.56449896
0.00431332	0.07516465	0.01725330	0.26424652
0.35714300	0.04053379	-0.83333300	0.01233921
-0.20809100	0.12383486	-0.36295000	-0.14288130
0.65033300	0.13686047	-0.60712100	0.12151830
0.67266700	0.15000099	-0.46941500	0.22143397
0.03968250	0.09828844	-0.03968250	0.17936407
0.00967867	0.16272023	0.00967867	-0.31810820
0.56295800	0.08280918	-0.19884300	0.23259501
0.54232800	0.20142466	-0.54894200	-0.26475334
0.31746000	0.04194651	-0.50000000	-0.03001386
0.77380900	0.18012863	-0.13888900	-0.08992732
0.30003900	0.17077824	-0.32423500	0.01808781
-0.16935600	0.11931989	-0.89161200	0.17818895
0.05323270	0.02213688	0.78881100	0.56065136
0.90011600	0.10801676	-0.09678670	-0.13972953
0.03174600	0.19393422	0.84920600	0.18715532
0.43650800	0.17157412	-0.87301600	-0.05974538
-0.20016900	0.07964549	0.20016900	0.20147155
0.09481670	0.10968699	0.50568900	0.51962888
-0.45301300	0.14445597	-0.22123900	-0.38124576
0.00431332	0.14457855	0.00431332	0.04718917
-0.16611300	-0.00300235	0.82553100	0.32900342
