root_mean_squared_error:
[0.2755899429321289, 0.2713991701602936, 0.2682979702949524, 0.26537343859672546, 0.26302605867385864, 0.260353147983551]
val_root_mean_squared_error:
[0.40565839409828186, 0.4022303819656372, 0.399518221616745, 0.3996593654155731, 0.407362699508667, 0.3960857391357422]

EfficientNetB0_AroVal_E10_B8_Adam0.0001_AUGFULL_SHUFFLE
Images: 3999
Arousal average RMSE: 0.35813930
Valence average RMSE: 0.44174383
Average total RMSE: 0.39994156

GT_aro	pred_aro	GT_val	pred_val
-0.07763980	-0.18316203	-0.17684600	-0.34194636
0.18389500	0.02743326	-0.36778900	-0.04216051
0.53232700	-0.10287359	-0.06291130	-0.27887648
-0.00483933	-0.00538336	0.00483933	0.00179826
-0.50793600	-0.25934428	-0.64285700	-0.51694250
0.48316400	0.71251923	-0.59772900	-0.47844347
0.28571400	0.41599604	-0.30952400	-0.31146884
-0.37926700	-0.24413902	-0.14749300	-0.57273459
0.65814900	-0.03816254	-0.64847100	-0.13597195
0.61111100	-0.04412012	-0.62698400	0.04735047
0.35714300	0.01376639	-0.53968300	-0.16795759
0.11588700	0.10051279	0.53729500	0.69545060
0.79365100	0.76361030	-0.24603200	-0.04527154
-0.37301600	0.48213089	-0.79365100	-0.48348418
0.65331000	0.03146707	-0.64363100	0.52662307
0.93883100	0.17076190	-0.15969800	-0.30275878
-0.22222200	0.02916955	-0.57142900	-0.17750469
0.75396800	-0.00212082	-0.23809500	0.09258746
-0.17684600	-0.03878226	-0.56504500	-0.19818230
-0.23499600	-0.15848684	-0.85476700	-0.69099468
0.56349200	-0.03403544	-0.18254000	0.55103111
0.75026800	0.23221250	0.06890210	0.03711965
-0.15276000	0.00585686	-0.31605600	-0.17855462
0.33391400	0.19981086	-0.30003900	0.47858334
0.08730160	-0.00170238	0.61111100	0.55698186
0.73326400	0.77228940	0.22429300	0.16529773
-0.38888900	-0.26931146	-0.76984100	-0.61827189
0.47619000	0.74547106	-0.69841300	-0.18088296
0.64847100	-0.02758515	-0.64363100	0.52069765
-0.32408600	-0.03303026	-0.84478400	-0.27610332
0.23712700	-0.02830928	-0.23712700	0.15738370
0.80385800	0.75929141	0.18756700	0.09791453
0.63259600	0.56391782	-0.34867500	-0.42316097
-0.06775070	-0.00196740	-0.09194730	-0.18293273
-0.34843200	-0.06823795	-0.55652300	-0.09382726
-0.20287900	-0.22132723	-0.73878400	-0.55690145
0.08858350	0.13652815	0.92256500	0.73375487
0.54761900	0.08587912	-0.17460300	0.24725518
0.65814900	-0.05539867	-0.64847100	0.16793987
0.52505700	0.06644402	-0.43928100	-0.08526210
0.65873000	0.07338464	-0.59523800	-0.12094298
0.75977500	0.27550757	0.39682500	-0.03155806
0.45301300	0.11556497	-0.75853300	-0.15446708
0.48740500	0.05339643	0.12508600	0.32509357
0.15079400	-0.02568912	0.30952400	0.06159301
0.42102200	0.11705647	-0.75493600	-0.36360538
0.27777800	0.13873824	-0.46031700	-0.27818340
0.35863700	0.20372786	0.78700900	0.69490695
0.79013900	0.75848526	-0.16856300	0.16342974
0.76461500	-0.24915707	0.36778900	-0.53642195
0.37262900	0.22931610	-0.75009700	0.54440755
0.76719600	0.72787613	0.19179900	0.37483808
0.45238100	0.71524358	-0.72222200	-0.06226025
0.66695400	-0.00858597	-0.65261000	0.54798114
-0.03174600	0.23665038	-0.03968250	-0.02585247
0.02419670	0.03143398	0.17421600	0.52584243
0.78397200	0.01445559	0.36778900	0.14364643
0.74603200	0.32718918	0.16666700	0.18351188
0.90157400	0.78696316	-0.16437500	0.02167442
0.13492100	0.15041606	0.91269800	0.73160076
0.89682500	0.17444219	0.23809500	-0.03127781
0.16666700	0.16653688	0.82539700	0.66041678
-0.06349210	-0.11126858	-0.56349200	-0.24491313
0.01587300	0.45627418	0.54761900	0.61279154
0.82539700	0.16494662	-0.15873000	0.60142517
0.62911300	0.11292855	-0.10162600	-0.01185622
0.66666700	0.32031339	0.15079400	-0.12218338
0.07936510	0.16350496	0.35714300	-0.05102070
-0.16437500	-0.25135452	-0.79697100	-0.80374664
-0.28571400	0.27639878	-0.61111100	-0.41411108
-0.23809500	0.10277157	-0.85714300	-0.09639831
-0.28087500	-0.19838770	-0.94417100	-0.52500868
-0.24680600	-0.23485488	-0.84204400	-0.50749260
-0.18389500	-0.05716370	-0.73557900	-0.37160811
-0.28571400	-0.23763669	-0.65079400	-0.51487410
0.76945400	0.42534217	-0.17905500	-0.04951985
-0.00793651	0.09366477	0.51587300	0.59184730
0.04593480	-0.00062827	0.76557900	0.37876990
0.53232700	-0.21833947	-0.70170300	-0.86480856
0.08195310	0.42834634	-0.03019320	-0.00309846
0.34075200	0.12743783	-0.14234000	-0.05852602
0.64363100	0.04277162	-0.11130500	-0.53872555
0.71428600	0.63270849	0.52380900	0.38821143
0.63879200	0.80748928	0.22260900	0.20674591
0.09523810	0.02199857	0.57142900	0.60215753
0.15802800	-0.04588952	-0.44774500	0.42183191
-0.34127000	-0.24465615	-0.23809500	-0.58943236
0.46825400	-0.05858545	-0.67460300	-0.18079664
0.68234600	-0.00453410	-0.29519900	0.50963306
-0.21597100	0.00663218	0.13169000	-0.00700529
-0.14034100	-0.02549037	0.90011600	0.63596612
0.45828100	0.22388472	-0.71112500	-0.44710091
0.42586100	0.37312248	-0.72106100	-0.01850876
0.74525700	0.39974117	0.39198600	0.65902030
0.34075200	0.03698683	-0.59955100	0.45943737
0.47619000	0.65495986	-0.68254000	-0.45530531
0.52264800	0.73461711	-0.76945400	-0.46869129
0.08226870	0.16226123	0.49845100	0.71742719
0.05479180	-0.05324337	-0.04482960	0.29341322
0.48316400	0.64500976	-0.59772900	-0.28104129
-0.46031700	0.00189819	-0.67460300	0.13180143
-0.00862664	0.06987227	-0.00431332	-0.53019643
0.00000000	0.09670727	0.53968300	0.67664146
0.41618300	0.00559826	-0.04355400	0.06352384
0.11130500	0.02024976	0.77429300	0.59547460
0.96395900	0.78028148	-0.05033730	-0.18444918
0.00000000	0.03168796	0.51587300	0.60409325
0.27100300	0.15059806	-0.09678670	-0.10732719
0.46527300	0.10856232	-0.44967800	-0.03937487
0.94851000	0.77458388	-0.05323270	-0.13748419
0.00431332	0.03706359	0.01725330	0.61097753
0.35714300	-0.03203268	-0.83333300	0.00367883
-0.20809100	-0.22566640	-0.36295000	-0.42082167
0.65033300	0.25317067	-0.60712100	-0.26070955
0.67266700	0.09097016	-0.46941500	0.04749026
0.03968250	-0.00555158	-0.03968250	0.09582989
0.00967867	0.04498111	0.00967867	-0.10158570
0.56295800	0.02669549	-0.19884300	-0.03616752
0.54232800	0.20328216	-0.54894200	-0.31600103
0.31746000	0.53925169	-0.50000000	-0.50233859
0.77380900	0.62266988	-0.13888900	0.17684989
0.30003900	0.71392816	-0.32423500	0.04319777
-0.16935600	-0.11349988	-0.89161200	-0.77454728
0.05323270	0.05128527	0.78881100	0.66131467
0.90011600	0.17089923	-0.09678670	-0.05596500
0.03174600	0.56490380	0.84920600	0.66441482
0.43650800	0.52461404	-0.87301600	-0.38039172
-0.20016900	0.10989775	0.20016900	-0.12576061
0.09481670	0.10009009	0.50568900	0.69006014
-0.45301300	-0.24029616	-0.22123900	-0.54318672
0.00431332	-0.04234750	0.00431332	-0.21223405
-0.16611300	0.06032027	0.82553100	0.65158200
0.79365100	0.64990276	-0.11614400	0.05777625
-0.18013800	0.30211496	-0.68139100	-0.54142588
0.86140100	0.70852321	-0.05807200	0.16345493
0.79365100	0.72167379	-0.07936510	0.00745861
0.36747800	0.15345326	-0.30623200	-0.08195446
-0.34359300	-0.21110635	-0.72590000	-0.47635928
0.65814900	0.40962294	-0.60007700	-0.40244249
0.77429300	0.69918060	-0.03387530	0.09091868
0.80952400	0.65673357	-0.08730160	-0.16507873
0.84910500	0.71377999	-0.06265660	-0.04055641
0.37262900	-0.01927553	-0.15969800	0.58157367
0.48309200	0.35039279	-0.16821900	-0.35936597
-0.00483933	0.36701187	-0.90495600	-0.27667582
0.48393300	0.01403337	-0.45005800	0.59977508
0.90011600	0.55083078	-0.10162600	0.12158552
0.00793651	-0.00294708	0.00793651	0.17108083
0.61943500	0.63710719	-0.07259000	-0.05994822
0.16460000	0.06666547	0.71198900	0.68320423
-0.37752900	-0.05873933	-0.64935100	-0.14524926
-0.25403500	-0.18417570	-0.79697100	-0.46312666
0.50085600	0.00606361	0.22148400	0.00317433
-0.64285700	0.06545551	-0.07142860	0.16456026
-0.46031700	0.06509493	-0.80158700	-0.12487628
0.40545200	0.23535867	0.09920630	-0.14819881
0.84920600	0.76264232	-0.12698400	0.12921035
-0.33875300	0.06975381	-0.75493600	-0.31575054
0.74273100	0.52153945	-0.54783000	-0.41210845
0.81191500	0.41394618	-0.47818300	-0.37088546
-0.34127000	-0.24674216	-0.17460300	-0.45175940
0.83236500	0.09863697	-0.06775070	-0.22885688
-0.02380950	-0.15962943	-0.67460300	-0.29017457
