root_mean_squared_error:
[0.42431581020355225, 0.354906290769577, 0.32363003492355347, 0.30893486738204956, 0.30223917961120605, 0.2967677414417267, 0.2934919595718384, 0.29047727584838867, 0.28759610652923584, 0.2860419750213623, 0.28462111949920654, 0.28348830342292786, 0.2824086844921112, 0.2815421223640442, 0.2801216244697571, 0.2794230878353119, 0.2793978750705719, 0.2785417139530182, 0.2782977223396301, 0.2774997353553772, 0.27738410234451294, 0.27704623341560364, 0.2766965925693512, 0.2761251926422119, 0.27618300914764404]
val_root_mean_squared_error:
[0.534443199634552, 0.4417051374912262, 0.42001035809516907, 0.4350150227546692, 0.44902947545051575, 0.3821578323841095, 0.39711499214172363, 0.4086354076862335, 0.4281466603279114, 0.3910231590270996, 0.4514785706996918, 0.3895636796951294, 0.4123384952545166, 0.43113067746162415, 0.4009869396686554, 0.3953738212585449, 0.41298285126686096, 0.4400593340396881, 0.4041113257408142, 0.41531360149383545, 0.41134390234947205, 0.38914376497268677, 0.4064820408821106, 0.3909763991832733, 0.42112091183662415]

EfficientNetB0_AroVal_E25_B8_SGD0.01_AUGFULL_SHUFFLE
Images: 3999
Arousal average RMSE: 0.3745
Valence average RMSE: 0.4102
Average total RMSE: 0.3923

GT_aro	pred_aro	GT_val	pred_val
-0.07763980	-0.04953616	-0.17684600	-0.18849930
0.18389500	-0.01203510	-0.36778900	-0.12363524
0.53232700	0.38827688	-0.06291130	-0.08020549
-0.00483933	-0.00315105	0.00483933	-0.07135852
-0.50793600	-0.08771438	-0.64285700	-0.20204008
0.48316400	0.61832273	-0.59772900	-0.52332383
0.28571400	0.36640587	-0.30952400	-0.34892660
-0.37926700	-0.07550564	-0.14749300	-0.37277529
0.65814900	0.01928993	-0.64847100	-0.21676132
0.61111100	-0.04509579	-0.62698400	-0.01010850
0.35714300	0.06537679	-0.53968300	-0.27204934
0.11588700	0.05201476	0.53729500	0.57525110
0.79365100	0.56882155	-0.24603200	-0.22719353
-0.37301600	0.18103920	-0.79365100	-0.61562705
0.65331000	0.00086563	-0.64363100	0.46503085
0.93883100	0.02923843	-0.15969800	-0.29378378
-0.22222200	0.07929768	-0.57142900	-0.15875021
0.75396800	0.04195256	-0.23809500	-0.02308645
-0.17684600	-0.10789403	-0.56504500	-0.30643311
-0.23499600	-0.06478689	-0.85476700	-0.47847739
0.56349200	-0.02515335	-0.18254000	0.38669816
0.75026800	0.11063626	0.06890210	-0.04419897
-0.15276000	-0.03196814	-0.31605600	-0.21269590
0.33391400	0.10912665	-0.30003900	0.36805251
0.08730160	-0.01308003	0.61111100	0.48101401
0.73326400	0.81237805	0.22429300	0.07094249
-0.38888900	-0.28751907	-0.76984100	-0.67584068
0.47619000	0.57539064	-0.69841300	-0.14535004
0.64847100	-0.03743135	-0.64363100	0.39000675
-0.32408600	0.35599011	-0.84478400	0.01268431
0.23712700	-0.01547714	-0.23712700	0.13257539
0.80385800	0.63499922	0.18756700	-0.02923543
0.63259600	0.38085049	-0.34867500	-0.36533251
-0.06775070	0.07739075	-0.09194730	-0.23495784
-0.34843200	-0.05839213	-0.55652300	-0.31507581
-0.20287900	-0.16339660	-0.73878400	-0.48251638
0.08858350	0.09862206	0.92256500	0.60168874
0.54761900	0.15041442	-0.17460300	-0.12097972
0.65814900	-0.00512965	-0.64847100	0.05575211
0.52505700	-0.01929598	-0.43928100	0.08210378
