root_mean_squared_error:
[0.33806169033050537, 0.3018810749053955, 0.29049161076545715, 0.2847171127796173, 0.2812398672103882, 0.27804940938949585, 0.27578723430633545, 0.27348560094833374, 0.2719116806983948, 0.27045467495918274]
val_root_mean_squared_error:
[0.45827633142471313, 0.3907296657562256, 0.4349103271961212, 0.4076121747493744, 0.43690192699432373, 0.38177019357681274, 0.40206342935562134, 0.3993764817714691, 0.3791223466396332, 0.407352089881897]

MnasNet_AroVal_E10_B8_A1.0_DEPTH1_Adam0.001_AUGFULL_SHUFFLE
Images: 3999
Arousal average RMSE: 0.34182073
Valence average RMSE: 0.41851939
Average total RMSE: 0.38017006

GT_aro	pred_aro	GT_val	pred_val
-0.07763980	-0.03563303	-0.17684600	-0.19512492
0.18389500	0.11445503	-0.36778900	-0.26136613
0.53232700	0.08652931	-0.06291130	-0.19293435
-0.00483933	-0.01874858	0.00483933	-0.11660759
-0.50793600	-0.08285640	-0.64285700	-0.28833422
0.48316400	0.60684603	-0.59772900	-0.46478522
0.28571400	0.43581742	-0.30952400	-0.21143988
-0.37926700	0.06897268	-0.14749300	-0.23968321
0.65814900	-0.03928178	-0.64847100	-0.16172400
0.61111100	-0.01146787	-0.62698400	0.25409758
0.35714300	0.14714187	-0.53968300	-0.25411218
0.11588700	0.13585591	0.53729500	0.62453818
0.79365100	0.77811271	-0.24603200	-0.00021663
-0.37301600	0.33931422	-0.79365100	-0.48353937
0.65331000	0.08914999	-0.64363100	0.50643754
0.93883100	0.33791935	-0.15969800	-0.15214714
-0.22222200	0.08929746	-0.57142900	-0.19666755
0.75396800	0.04132385	-0.23809500	-0.00891742
-0.17684600	0.14231308	-0.56504500	0.05838054
-0.23499600	-0.15018564	-0.85476700	-0.65747863
0.56349200	0.04955206	-0.18254000	0.42436835
0.75026800	0.07248761	0.06890210	-0.00983868
-0.15276000	-0.06855942	-0.31605600	-0.19392094
0.33391400	0.16826198	-0.30003900	0.53010619
0.08730160	0.06329634	0.61111100	0.47918552
0.73326400	0.79592407	0.22429300	0.23660994
-0.38888900	-0.20237537	-0.76984100	-0.46969306
0.47619000	0.71303165	-0.69841300	-0.09583211
0.64847100	0.04802036	-0.64363100	0.38782457
-0.32408600	0.24604179	-0.84478400	-0.01369652
0.23712700	0.03209092	-0.23712700	0.12593991
0.80385800	0.72451466	0.18756700	0.12492840
0.63259600	0.44223520	-0.34867500	-0.30397788
-0.06775070	0.16403081	-0.09194730	-0.40059179
-0.34843200	-0.06289694	-0.55652300	-0.13129604
-0.20287900	-0.12766394	-0.73878400	-0.45468557
0.08858350	0.19621481	0.92256500	0.70864666
0.54761900	0.11237463	-0.17460300	0.08994409
0.65814900	-0.01004903	-0.64847100	-0.03575531
0.52505700	0.05799294	-0.43928100	-0.01828283
0.65873000	0.18464760	-0.59523800	-0.19761384
0.75977500	0.25563309	0.39682500	-0.05811534
0.45301300	0.30505010	-0.75853300	-0.41421199
0.48740500	0.18060015	0.12508600	0.34562641
0.15079400	0.00082772	0.30952400	-0.01796497
0.42102200	0.13294560	-0.75493600	-0.27939123
0.27777800	0.07929954	-0.46031700	0.00140162
0.35863700	0.31802198	0.78700900	0.72813559
0.79013900	0.77487111	-0.16856300	0.20371978
0.76461500	0.02684077	0.36778900	-0.08331408
0.37262900	0.34720206	-0.75009700	0.51407295
0.76719600	0.79373926	0.19179900	-0.19761190
0.45238100	0.74104345	-0.72222200	0.09163000
0.66695400	0.12308997	-0.65261000	0.52836698
-0.03174600	0.42675728	-0.03968250	-0.05154885
0.02419670	0.17408691	0.17421600	0.30145755
0.78397200	0.05619253	0.36778900	-0.04114471
0.74603200	0.57212406	0.16666700	0.17439848
0.90157400	0.79685491	-0.16437500	-0.23800677
0.13492100	0.19856401	0.91269800	0.72628677
0.89682500	0.46504271	0.23809500	-0.16351332
0.16666700	0.20225106	0.82539700	0.66462797
-0.06349210	-0.01174081	-0.56349200	-0.09028351
0.01587300	0.52979821	0.54761900	0.64617693
0.82539700	0.25928539	-0.15873000	0.45838258
0.62911300	0.74197954	-0.10162600	0.18184210
0.66666700	0.19013253	0.15079400	-0.09716332
0.07936510	0.21301976	0.35714300	0.03695864
-0.16437500	-0.26396838	-0.79697100	-0.79236686
-0.28571400	0.37429801	-0.61111100	-0.28652766
-0.23809500	0.06575854	-0.85714300	-0.28593647
-0.28087500	-0.07264523	-0.94417100	-0.51397020
-0.24680600	-0.11965278	-0.84204400	-0.35463154
-0.18389500	0.08250713	-0.73557900	-0.20210038
-0.28571400	-0.22304054	-0.65079400	-0.52474213
0.76945400	0.20548017	-0.17905500	-0.02065211
-0.00793651	0.16941833	0.51587300	0.49980181
0.04593480	0.02771706	0.76557900	0.41153678
0.53232700	0.03401992	-0.70170300	-0.61286348
0.08195310	0.24932705	-0.03019320	-0.04078136
0.34075200	0.24156006	-0.14234000	-0.09979128
0.64363100	0.13784902	-0.11130500	-0.37046430
0.71428600	0.45649612	0.52380900	0.42980188
0.63879200	0.83295149	0.22260900	0.24042916
0.09523810	0.04815257	0.57142900	0.43459737
0.15802800	0.06331947	-0.44774500	0.16186972
-0.34127000	-0.16906321	-0.23809500	-0.46880779
0.46825400	0.19474261	-0.67460300	-0.26153335
0.68234600	0.04978148	-0.29519900	0.28763989
-0.21597100	0.05771939	0.13169000	-0.05026913
-0.14034100	0.06904731	0.90011600	0.61121178
0.45828100	0.28762990	-0.71112500	-0.37902790
0.42586100	0.47305706	-0.72106100	-0.08050883
0.74525700	0.43475446	0.39198600	0.61346692
0.34075200	0.30768743	-0.59955100	0.17397785
0.47619000	0.66502333	-0.68254000	-0.38493517
0.52264800	0.69204539	-0.76945400	-0.42645890
0.08226870	0.18474934	0.49845100	0.67921084
0.05479180	0.02533869	-0.04482960	-0.12255312
0.48316400	0.55767751	-0.59772900	-0.25914419
-0.46031700	0.17925996	-0.67460300	0.07413496
-0.00862664	-0.02771569	-0.00431332	-0.39223072
0.00000000	0.12968770	0.53968300	0.64001608
0.41618300	0.09398787	-0.04355400	-0.03767902
0.11130500	0.20459600	0.77429300	0.36172426
0.96395900	0.51444155	-0.05033730	-0.33118972
0.00000000	0.10356668	0.51587300	0.57452452
0.27100300	0.09443153	-0.09678670	-0.16748559
0.46527300	0.07918959	-0.44967800	-0.05267411
0.94851000	0.76655984	-0.05323270	-0.11261252
0.00431332	0.09453393	0.01725330	0.60966122
0.35714300	-0.00045219	-0.83333300	-0.07123554
-0.20809100	-0.06718001	-0.36295000	-0.15997182
0.65033300	0.38858706	-0.60712100	-0.39604145
0.67266700	0.13918421	-0.46941500	-0.06005579
0.03968250	0.19360299	-0.03968250	-0.04493244
0.00967867	0.01728393	0.00967867	-0.07994907
0.56295800	0.31328118	-0.19884300	-0.07536836
0.54232800	0.27771348	-0.54894200	0.02808306
0.31746000	0.57693011	-0.50000000	-0.40169606
0.77380900	0.51529950	-0.13888900	-0.31697726
0.30003900	0.79287612	-0.32423500	0.17862330
-0.16935600	-0.17504165	-0.89161200	-0.83599782
0.05323270	0.11613306	0.78881100	0.62019277
0.90011600	0.51056665	-0.09678670	-0.08087206
0.03174600	0.66372037	0.84920600	0.10549358
0.43650800	0.54941249	-0.87301600	-0.32455701
-0.20016900	0.10229652	0.20016900	-0.19069672
0.09481670	0.22564685	0.50568900	0.58367795
-0.45301300	-0.06341866	-0.22123900	-0.24683444
0.00431332	0.21831675	0.00431332	-0.05911224
-0.16611300	0.07559751	0.82553100	0.59130204
0.79365100	0.81257641	-0.11614400	0.19304854
-0.18013800	0.47265968	-0.68139100	-0.37953573
0.86140100	0.71833330	-0.05807200	0.22737283
0.79365100	0.74269074	-0.07936510	0.07880461
0.36747800	0.14034179	-0.30623200	-0.13317311
-0.34359300	-0.10146278	-0.72590000	-0.27154124
0.65814900	0.09542939	-0.60007700	-0.53879833
0.77429300	0.71571308	-0.03387530	0.08585909
0.80952400	0.65031898	-0.08730160	0.02020485
0.84910500	0.77954876	-0.06265660	0.12679456
0.37262900	0.03459120	-0.15969800	0.52742612
0.48309200	0.21590361	-0.16821900	-0.30833670
-0.00483933	0.19842224	-0.90495600	-0.24683267
0.48393300	0.08457271	-0.45005800	0.56919986
0.90011600	0.73194671	-0.10162600	0.02649326
0.00793651	0.08551631	0.00793651	-0.00191494
0.61943500	0.54059470	-0.07259000	0.00140392
0.16460000	0.15477860	0.71198900	0.62007445
-0.37752900	-0.02963572	-0.64935100	-0.17688575
-0.25403500	-0.01629322	-0.79697100	-0.23065941
0.50085600	0.09443700	0.22148400	-0.04992516
-0.64285700	0.13298605	-0.07142860	-0.09095408
-0.46031700	-0.08731478	-0.80158700	-0.40358919
0.40545200	0.17738044	0.09920630	-0.21151987
0.84920600	0.79366976	-0.12698400	0.14417775
-0.33875300	-0.11614168	-0.75493600	-0.40405285
0.74273100	0.33528280	-0.54783000	-0.30576348
0.81191500	0.43867841	-0.47818300	-0.36238831
-0.34127000	-0.10137442	-0.17460300	-0.28369483
0.83236500	0.08544664	-0.06775070	-0.17017965
-0.02380950	-0.20851548	-0.67460300	-0.45450249
0.66298900	0.10472871	-0.61459500	0.60975701
0.31455700	0.28928807	-0.71622100	-0.27567130
0.43995900	0.57717144	-0.15096600	-0.40907696
0.42857100	0.14909846	-0.24603200	-0.14788197
-0.24433400	-0.21565045	-0.77718900	-0.54545677
0.20634900	0.20735860	-0.53174600	-0.02906709
-0.12098300	0.46814331	0.44037900	0.17995314
0.07142860	0.13182355	0.84920600	0.66450101
0.47909400	0.10192026	-0.42586100	0.23954561
0.64363100	0.00570047	-0.64363100	-0.10324651
0.28709200	0.36436903	0.89572800	0.67550468
0.81151400	0.27121350	0.14546000	-0.24098761
0.44037900	0.03934969	0.09194730	-0.12465694
0.64285700	-0.01070543	-0.62698400	-0.71422845
-0.00793651	0.12508328	-0.60317500	-0.37305093
0.79365100	0.48449892	-0.11904800	-0.20947745
0.41536900	0.24278423	-0.00370865	-0.12831616
0.80693400	0.01359178	-0.47320200	-0.19801426
0.50000000	0.63353753	0.01587300	0.03542073
-0.12055500	0.08788139	-0.29385200	-0.16782282
0.01587300	0.02350429	-0.00793651	0.06722580
0.57780400	0.84140193	0.36361800	0.19166231
0.81689600	-0.16257687	-0.45327800	-0.61758399
-0.14518000	0.33786777	-0.30487800	-0.01683668
0.33875300	0.52755290	-0.78881100	-0.26103312
0.76210400	-0.10115148	-0.11954600	-0.45093030
0.66298900	0.12834023	-0.64847100	0.17730796
0.41269800	-0.05768407	-0.86507900	-0.23924065
0.50329100	0.06704617	-0.23228800	-0.00938579
0.46825400	0.52404553	-0.71428600	-0.41441619
0.66798900	0.60116720	0.11904800	-0.12975889
0.54791800	0.60799396	0.36361800	0.17109048
0.51780900	0.23037085	-0.46457600	-0.00900453
0.65814900	-0.08474191	-0.41618300	-0.21635680
0.33871300	0.14910467	0.76210400	0.61319917
0.03387530	0.30866456	0.32907500	-0.08388842
0.88075900	0.08482890	-0.08710800	-0.48893979
0.45489700	0.24776742	-0.75977500	-0.20419396
0.50105500	0.04801302	-0.30515400	-0.01145802
0.47425500	0.27771851	-0.76461500	-0.26937163
0.81191500	0.02031568	-0.47818300	-0.45523095
0.47909400	0.54878366	-0.81300800	-0.43212903
0.37301600	0.18307528	-0.86507900	-0.16065495
0.44997200	-0.10454810	-0.64484100	-0.63784140
0.06349210	0.07571531	0.50793600	0.54189485
0.78397200	0.38852921	0.45005800	0.58227670
0.75493600	0.35321635	-0.11130500	0.48781109
-0.15939400	0.13216458	-0.86670600	-0.61344743
0.43554000	0.75335723	-0.76461500	-0.26262134
0.61904800	0.43263218	-0.06349210	-0.02960020
0.76984100	0.65557599	-0.38888900	-0.36636183
0.69841300	0.74579889	-0.66666700	0.09595050
-0.15211600	-0.12282880	-0.96560800	-0.84799665
0.00000000	0.02633403	0.00793651	0.17779113
0.09678670	0.33734906	-0.38230700	-0.09271647
-0.12508600	0.04570965	-0.48309200	-0.40146044
-0.22912900	-0.06980154	-0.79697100	-0.26088095
0.36778900	0.59579009	-0.81784700	0.06139677
0.80158700	0.21396227	0.26984100	-0.07954354
0.63395300	0.10429922	-0.63395300	0.32286295
0.10535200	0.02675184	-0.30025300	-0.04331749
0.46317600	0.33427528	-0.40958500	0.19084372
-0.29365100	0.03016593	-0.68254000	0.36269855
