root_mean_squared_error:
[0.28225478529930115, 0.2786403000354767, 0.27531716227531433, 0.2733265161514282, 0.27059406042099]
val_root_mean_squared_error:
[0.4253213107585907, 0.41539421677589417, 0.41260144114494324, 0.4188193082809448, 0.40728703141212463]

MnasNet_AroVal_E10_B8_A1.0_DEPTH1_SGD0.01_AUGFULL_SHUFFLE
Images: 3999
Arousal average RMSE: 0.39195338
Valence average RMSE: 0.43049172
Average total RMSE: 0.41122255

GT_aro	pred_aro	GT_val	pred_val
-0.07763980	-0.02636965	-0.17684600	-0.20405345
0.18389500	0.01574557	-0.36778900	-0.07289476
0.53232700	-0.05343790	-0.06291130	-0.29049653
-0.00483933	0.00055838	0.00483933	-0.14559352
-0.50793600	-0.18945813	-0.64285700	-0.40829423
0.48316400	0.63832992	-0.59772900	-0.37099433
0.28571400	0.39457873	-0.30952400	-0.38415658
-0.37926700	-0.12202320	-0.14749300	-0.41149497
0.65814900	0.00397005	-0.64847100	-0.15936388
0.61111100	-0.05372718	-0.62698400	0.26711538
0.35714300	0.05806105	-0.53968300	-0.18088409
0.11588700	0.06427553	0.53729500	0.57655180
0.79365100	0.70793313	-0.24603200	-0.05325026
-0.37301600	0.22272930	-0.79365100	-0.52975976
0.65331000	0.02256727	-0.64363100	0.43546212
0.93883100	0.31040779	-0.15969800	-0.22454420
-0.22222200	0.12286551	-0.57142900	-0.21860550
0.75396800	-0.02522802	-0.23809500	0.00511969
-0.17684600	0.00496746	-0.56504500	-0.16433737
-0.23499600	-0.00723526	-0.85476700	-0.23085730
0.56349200	-0.00887633	-0.18254000	0.50540161
0.75026800	-0.00105250	0.06890210	-0.13119267
-0.15276000	-0.05806427	-0.31605600	-0.16343893
0.33391400	0.00077714	-0.30003900	0.44861859
0.08730160	0.02261603	0.61111100	0.41810673
0.73326400	0.74512935	0.22429300	0.14442070
-0.38888900	-0.10118190	-0.76984100	-0.17790546
0.47619000	0.59747279	-0.69841300	-0.12552182
0.64847100	-0.00344272	-0.64363100	0.35157973
-0.32408600	0.04781594	-0.84478400	-0.00325212
0.23712700	-0.07155477	-0.23712700	0.20868027
0.80385800	0.47254834	0.18756700	0.06423944
0.63259600	0.39611429	-0.34867500	-0.31983516
-0.06775070	0.09462795	-0.09194730	-0.25383317
-0.34843200	-0.05657849	-0.55652300	-0.09560588
-0.20287900	-0.04852471	-0.73878400	-0.44818854
0.08858350	0.06524643	0.92256500	0.61761457
0.54761900	0.15325698	-0.17460300	0.03218806
0.65814900	-0.01375145	-0.64847100	-0.03350385
0.52505700	0.11556574	-0.43928100	-0.01416797
0.65873000	0.14514516	-0.59523800	-0.24855962
0.75977500	0.06788748	0.39682500	-0.17126104
0.45301300	0.07935049	-0.75853300	-0.22188377
0.48740500	-0.02672562	0.12508600	0.10490772
0.15079400	-0.02535777	0.30952400	0.36555326
0.42102200	0.21521664	-0.75493600	-0.33432204
0.27777800	0.04474396	-0.46031700	0.07551950
0.35863700	0.17396757	0.78700900	0.66941774
0.79013900	0.70151693	-0.16856300	0.24491563
0.76461500	-0.09279343	0.36778900	-0.12163936
0.37262900	0.08657451	-0.75009700	0.43414772
0.76719600	0.41973540	0.19179900	0.11889578
0.45238100	0.50106794	-0.72222200	0.00238776
0.66695400	0.01295702	-0.65261000	0.49184793
-0.03174600	0.15544614	-0.03968250	-0.11353757
0.02419670	0.00994436	0.17421600	0.32032874
0.78397200	0.05655182	0.36778900	-0.06449397
0.74603200	0.06299351	0.16666700	0.05008121
0.90157400	0.82836890	-0.16437500	-0.20720017
0.13492100	0.09809983	0.91269800	0.60751605
0.89682500	0.07021292	0.23809500	-0.14505528
0.16666700	0.12911251	0.82539700	0.61768514
-0.06349210	0.13041511	-0.56349200	-0.23099348
0.01587300	0.06587622	0.54761900	0.38478971
0.82539700	0.28041124	-0.15873000	0.25328898
0.62911300	0.03779731	-0.10162600	0.11704396
0.66666700	0.23325133	0.15079400	-0.23099889
0.07936510	0.06399593	0.35714300	0.13376726
-0.16437500	-0.26212147	-0.79697100	-0.75532538
-0.28571400	0.19289225	-0.61111100	-0.39855987
-0.23809500	-0.00218682	-0.85714300	-0.28498352
-0.28087500	-0.14406452	-0.94417100	-0.61851609
-0.24680600	-0.07678358	-0.84204400	-0.03094619
-0.18389500	-0.10412150	-0.73557900	-0.42950958
-0.28571400	-0.09796815	-0.65079400	-0.26095766
0.76945400	0.07613364	-0.17905500	-0.15000091
-0.00793651	0.02432703	0.51587300	0.54726630
0.04593480	0.01797727	0.76557900	0.24598911
0.53232700	0.01327639	-0.70170300	-0.49939620
0.08195310	0.25842524	-0.03019320	-0.20918971
0.34075200	0.29289079	-0.14234000	-0.23179707
0.64363100	0.25799668	-0.11130500	-0.30258724
0.71428600	0.42615512	0.52380900	0.27843580
0.63879200	0.61772931	0.22260900	0.30706900
0.09523810	-0.00609379	0.57142900	0.51776558
0.15802800	-0.05257558	-0.44774500	0.29315454
-0.34127000	0.06773417	-0.23809500	-0.36811665
0.46825400	-0.06361403	-0.67460300	-0.36377886
0.68234600	-0.00242339	-0.29519900	0.49883097
-0.21597100	0.03546137	0.13169000	-0.09643370
-0.14034100	-0.06935389	0.90011600	0.55710268
0.45828100	0.25449947	-0.71112500	-0.43831375
0.42586100	0.07691494	-0.72106100	-0.09663441
0.74525700	0.34152529	0.39198600	0.59608102
0.34075200	0.03601850	-0.59955100	0.45001578
0.47619000	0.53688705	-0.68254000	-0.53833050
0.52264800	0.55822718	-0.76945400	-0.47408757
0.08226870	0.09836654	0.49845100	0.59034061
0.05479180	0.05105560	-0.04482960	-0.04777348
0.48316400	0.10288911	-0.59772900	-0.02341126
-0.46031700	0.06265232	-0.67460300	-0.09841960
-0.00862664	0.14728007	-0.00431332	-0.40150362
0.00000000	0.06402431	0.53968300	0.57196164
0.41618300	0.03277888	-0.04355400	-0.04199769
0.11130500	0.00597919	0.77429300	0.49657446
0.96395900	0.40949431	-0.05033730	-0.44541764
0.00000000	-0.06167230	0.51587300	0.54773450
0.27100300	-0.06277432	-0.09678670	-0.27664500
0.46527300	0.14501497	-0.44967800	-0.17360082
0.94851000	0.63561749	-0.05323270	-0.36715454
0.00431332	0.00674202	0.01725330	0.51534629
0.35714300	-0.03786460	-0.83333300	-0.01451898
