root_mean_squared_error:
[0.351119726896286, 0.30901557207107544, 0.294483482837677, 0.2858193814754486, 0.2799496650695801, 0.27602192759513855, 0.27244046330451965, 0.26919591426849365, 0.26662155985832214, 0.26456013321876526]
val_root_mean_squared_error:
[0.4310113787651062, 0.4095374643802643, 0.4135477542877197, 0.42018887400627136, 0.40803515911102295, 0.430277556180954, 0.3994368612766266, 0.40016189217567444, 0.3792459964752197, 0.4028474688529968]

MnasNet_AroVal_E10_B8_A1.5_DEPTH3_SGD0.01_AUGFULL_SHUFFLE
Images: 3999
Arousal average RMSE: 0.35448751
Valence average RMSE: 0.41557038
Average total RMSE: 0.38502895

GT_aro	pred_aro	GT_val	pred_val
-0.07763980	-0.01299924	-0.17684600	-0.13938853
0.18389500	0.09417151	-0.36778900	-0.11921583
0.53232700	0.53967321	-0.06291130	-0.07833517
-0.00483933	0.02363265	0.00483933	-0.13131623
-0.50793600	-0.03626678	-0.64285700	-0.35052323
0.48316400	0.58145320	-0.59772900	-0.44668788
0.28571400	0.33868951	-0.30952400	-0.30510563
-0.37926700	-0.14677209	-0.14749300	-0.40370440
0.65814900	-0.01176611	-0.64847100	-0.14770901
0.61111100	-0.00202195	-0.62698400	0.05200909
0.35714300	0.06396092	-0.53968300	-0.18488741
0.11588700	0.06942862	0.53729500	0.65656215
0.79365100	0.67828387	-0.24603200	-0.34682518
-0.37301600	0.27013710	-0.79365100	-0.50375122
0.65331000	0.05381095	-0.64363100	0.43995637
0.93883100	0.22698756	-0.15969800	-0.27641582
-0.22222200	0.11274886	-0.57142900	-0.19531628
0.75396800	0.05062993	-0.23809500	-0.10025872
-0.17684600	0.05756242	-0.56504500	-0.19404423
-0.23499600	0.17998931	-0.85476700	-0.03392613
0.56349200	0.03231593	-0.18254000	0.48557436
0.75026800	0.28814411	0.06890210	0.00617155
-0.15276000	0.03170527	-0.31605600	-0.15446828
0.33391400	0.17368710	-0.30003900	0.26964319
0.08730160	0.01148827	0.61111100	0.55936801
0.73326400	0.76497066	0.22429300	0.17907612
-0.38888900	-0.08902374	-0.76984100	-0.17594704
0.47619000	0.69821942	-0.69841300	-0.19611573
0.64847100	0.02452593	-0.64363100	0.42765969
-0.32408600	0.15832159	-0.84478400	-0.26762933
0.23712700	-0.02546140	-0.23712700	0.00315092
0.80385800	0.65173757	0.18756700	0.04974891
0.63259600	0.33162081	-0.34867500	-0.34228063
-0.06775070	0.16740142	-0.09194730	-0.32346964
-0.34843200	-0.06126038	-0.55652300	-0.13717833
-0.20287900	0.02450348	-0.73878400	-0.32224143
0.08858350	0.11364862	0.92256500	0.68370926
0.54761900	0.13911308	-0.17460300	-0.09341314
0.65814900	0.00995318	-0.64847100	-0.01275687
0.52505700	0.07677731	-0.43928100	0.03949428
0.65873000	0.11417723	-0.59523800	-0.21946552
0.75977500	0.10285836	0.39682500	-0.05411891
0.45301300	0.02736231	-0.75853300	-0.19474137
0.48740500	0.04968461	0.12508600	0.00951896
0.15079400	0.00436667	0.30952400	0.14980681
0.42102200	0.18265317	-0.75493600	-0.31672472
0.27777800	0.15534937	-0.46031700	-0.01508391
0.35863700	0.20255236	0.78700900	0.71169031
0.79013900	0.84856129	-0.16856300	0.11032908
0.76461500	0.22543500	0.36778900	-0.01702039
0.37262900	0.39154458	-0.75009700	0.11752602
0.76719600	0.61580354	0.19179900	0.12831146
0.45238100	0.50679177	-0.72222200	0.02475697
0.66695400	-0.00092083	-0.65261000	0.42926234
-0.03174600	0.32492152	-0.03968250	-0.05441938
0.02419670	0.05627406	0.17421600	0.38472527
0.78397200	0.10598032	0.36778900	-0.13386957
0.74603200	0.20288065	0.16666700	0.03458212
0.90157400	0.80652320	-0.16437500	-0.20566462
0.13492100	0.11522274	0.91269800	0.69252676
0.89682500	0.12551288	0.23809500	-0.16076720
0.16666700	0.13376397	0.82539700	0.66247672
-0.06349210	-0.02459836	-0.56349200	-0.38269871
0.01587300	0.04741965	0.54761900	0.02271802
0.82539700	0.19645254	-0.15873000	0.59547573
0.62911300	0.24571083	-0.10162600	-0.01800897
0.66666700	0.26178470	0.15079400	-0.08927789
0.07936510	0.28567472	0.35714300	-0.04759469
-0.16437500	-0.13935843	-0.79697100	-0.46500945
-0.28571400	0.31919980	-0.61111100	-0.35379159
-0.23809500	0.07411952	-0.85714300	-0.21861526
-0.28087500	-0.01616165	-0.94417100	-0.42358911
-0.24680600	-0.04363029	-0.84204400	-0.34710348
-0.18389500	0.04986668	-0.73557900	-0.14311251
-0.28571400	-0.01801403	-0.65079400	-0.05269007
0.76945400	0.50246197	-0.17905500	-0.03784793
-0.00793651	0.07578037	0.51587300	0.42747849
0.04593480	0.00098795	0.76557900	0.37170714
0.53232700	-0.13359462	-0.70170300	-0.58965081
0.08195310	0.10072006	-0.03019320	-0.05666006
0.34075200	0.29050970	-0.14234000	-0.16950595
0.64363100	0.39324331	-0.11130500	-0.26649755
0.71428600	0.62292415	0.52380900	0.33261567
0.63879200	0.83741874	0.22260900	0.19492866
0.09523810	-0.01121144	0.57142900	0.54007220
0.15802800	0.02235016	-0.44774500	0.25371355
-0.34127000	0.20670599	-0.23809500	-0.44688445
0.46825400	-0.04150692	-0.67460300	-0.32270700
0.68234600	0.10830866	-0.29519900	0.13750665
-0.21597100	0.02377775	0.13169000	-0.08963858
-0.14034100	-0.05189547	0.90011600	0.59372622
