root_mean_squared_error:
[0.3382790684700012, 0.2997581660747528, 0.2881518006324768, 0.2823809087276459, 0.27856072783470154, 0.27586227655410767, 0.2733404338359833, 0.2710800766944885, 0.2692625820636749, 0.26783642172813416]
val_root_mean_squared_error:
[0.5225375294685364, 0.3921431303024292, 0.4338645040988922, 0.44605085253715515, 0.4068681597709656, 0.4097726047039032, 0.420991986989975, 0.4344824254512787, 0.43267184495925903, 0.39987877011299133]

MnasNet_AroVal_E10_B8_D0.5_A1.0_DEPTH1_Adam0.001_AUGFULL_SHUFFLE
Images: 3999
Arousal average RMSE: 0.35811564
Valence average RMSE: 0.42413807
Average total RMSE: 0.39112685

GT_aro	pred_aro	GT_val	pred_val
-0.07763980	-0.02031805	-0.17684600	-0.15726165
0.18389500	0.14603236	-0.36778900	-0.18494973
0.53232700	0.10165124	-0.06291130	-0.07363256
-0.00483933	0.03345940	0.00483933	-0.09745975
-0.50793600	0.05343654	-0.64285700	-0.12732288
0.48316400	0.61782604	-0.59772900	-0.40442446
0.28571400	0.42865229	-0.30952400	-0.27469161
-0.37926700	0.11739160	-0.14749300	-0.22562772
0.65814900	0.04000709	-0.64847100	-0.07547718
0.61111100	0.06649598	-0.62698400	0.04670352
0.35714300	0.24685253	-0.53968300	-0.10110695
0.11588700	0.07219756	0.53729500	0.21042442
0.79365100	0.65742725	-0.24603200	-0.01830198
-0.37301600	0.35265893	-0.79365100	-0.30363461
0.65331000	0.09231211	-0.64363100	0.10482930
0.93883100	0.12579817	-0.15969800	-0.12865327
-0.22222200	0.03693943	-0.57142900	0.00324599
0.75396800	0.00572062	-0.23809500	-0.07833405
-0.17684600	0.05179869	-0.56504500	0.01549195
-0.23499600	0.13560089	-0.85476700	-0.20546755
0.56349200	0.05245083	-0.18254000	0.13640350
0.75026800	0.05805852	0.06890210	-0.02582111
-0.15276000	0.00637672	-0.31605600	-0.10911224
0.33391400	0.20263971	-0.30003900	0.04869543
0.08730160	0.07879493	0.61111100	0.07388788
0.73326400	0.69798899	0.22429300	0.16858993
-0.38888900	0.02915143	-0.76984100	-0.13585278
0.47619000	0.58398843	-0.69841300	-0.12568852
0.64847100	0.02079401	-0.64363100	0.16992180
-0.32408600	0.05795758	-0.84478400	-0.14812471
0.23712700	-0.00557757	-0.23712700	0.02139462
0.80385800	0.52523488	0.18756700	0.10055685
0.63259600	0.44270802	-0.34867500	-0.23420636
-0.06775070	0.16793181	-0.09194730	-0.16510335
-0.34843200	-0.00523975	-0.55652300	0.03136974
-0.20287900	0.33902186	-0.73878400	-0.23326392
0.08858350	0.14513707	0.92256500	0.23465402
0.54761900	0.12095877	-0.17460300	-0.03963744
0.65814900	-0.00095946	-0.64847100	0.07159510
0.52505700	0.13331725	-0.43928100	0.02972882
0.65873000	0.27021328	-0.59523800	-0.16955976
0.75977500	0.17020559	0.39682500	-0.04127112
0.45301300	0.11295802	-0.75853300	-0.30240652
0.48740500	0.09067781	0.12508600	0.05766245
0.15079400	-0.01349616	0.30952400	-0.05175348
0.42102200	0.29091033	-0.75493600	-0.23710383
0.27777800	0.07744238	-0.46031700	0.03304999
0.35863700	0.19913480	0.78700900	0.24797396
0.79013900	0.81647271	-0.16856300	0.19647694
0.76461500	0.27053535	0.36778900	-0.04985280
0.37262900	0.17024231	-0.75009700	0.03957629
0.76719600	0.31818330	0.19179900	0.07542922
0.45238100	0.49973428	-0.72222200	0.01039090
0.66695400	0.05419352	-0.65261000	0.16233830
-0.03174600	0.21408561	-0.03968250	-0.10107710
0.02419670	0.15867795	0.17421600	0.11197342
0.78397200	0.09375651	0.36778900	-0.00925348
0.74603200	0.24064647	0.16666700	-0.00262506
0.90157400	0.68671978	-0.16437500	-0.04884607
0.13492100	0.13729201	0.91269800	0.27206179
0.89682500	0.34293890	0.23809500	-0.02121413
0.16666700	0.20752521	0.82539700	0.24927489
-0.06349210	-0.02969622	-0.56349200	-0.10817309
0.01587300	0.24489495	0.54761900	0.08612575
0.82539700	0.38590980	-0.15873000	0.08280070
0.62911300	0.51143283	-0.10162600	0.05658876
0.66666700	0.35996538	0.15079400	-0.13364986
0.07936510	0.24091850	0.35714300	0.10109600
-0.16437500	-0.05934517	-0.79697100	-0.29112467
-0.28571400	0.28948438	-0.61111100	-0.18254864
-0.23809500	0.05187112	-0.85714300	-0.01368249
-0.28087500	0.13901733	-0.94417100	-0.14883359
-0.24680600	-0.04240784	-0.84204400	-0.20139067
-0.18389500	-0.02973266	-0.73557900	-0.19208315
-0.28571400	-0.01514023	-0.65079400	-0.07113613
0.76945400	0.51964915	-0.17905500	0.06600239
-0.00793651	0.06812081	0.51587300	0.04892833
0.04593480	0.02816738	0.76557900	0.08177605
0.53232700	0.12339172	-0.70170300	-0.36163393
0.08195310	0.27928537	-0.03019320	-0.21395443
0.34075200	0.14129114	-0.14234000	-0.08310042
0.64363100	0.13044703	-0.11130500	-0.23964469
0.71428600	0.32291895	0.52380900	0.12788665
0.63879200	0.46354640	0.22260900	0.07949033
0.09523810	0.04799083	0.57142900	0.17670178
0.15802800	0.16246861	-0.44774500	-0.00740490
-0.34127000	0.10124413	-0.23809500	-0.21997367
0.46825400	0.17882842	-0.67460300	-0.15005395
0.68234600	0.09486520	-0.29519900	0.09385151
-0.21597100	0.02285829	0.13169000	0.03977254
-0.14034100	0.00803590	0.90011600	0.19453909
0.45828100	0.19407050	-0.71112500	-0.32698920
0.42586100	0.22286358	-0.72106100	-0.01927859
0.74525700	0.41215086	0.39198600	0.22295091
0.34075200	0.08052284	-0.59955100	0.00826896
0.47619000	0.55780250	-0.68254000	-0.47099578
0.52264800	0.63338554	-0.76945400	-0.30187681
0.08226870	0.16375521	0.49845100	0.22134371
0.05479180	0.06324375	-0.04482960	-0.00905787
0.48316400	0.37021792	-0.59772900	-0.00576427
-0.46031700	0.03230540	-0.67460300	-0.01329777
-0.00862664	0.28322214	-0.00431332	-0.28233522
0.00000000	0.07352772	0.53968300	0.13607341
0.41618300	0.18714625	-0.04355400	-0.00622388
0.11130500	0.10554662	0.77429300	0.05795893
0.96395900	0.58904821	-0.05033730	-0.17060874
0.00000000	0.01455360	0.51587300	0.10909353
0.27100300	0.20573986	-0.09678670	-0.10340233
0.46527300	0.19659184	-0.44967800	-0.12043458
0.94851000	0.53846192	-0.05323270	-0.07566086
0.00431332	0.14277601	0.01725330	0.06106561
0.35714300	0.03024252	-0.83333300	0.01879594
-0.20809100	0.00657075	-0.36295000	-0.02508538
0.65033300	0.11639532	-0.60712100	0.02086766
0.67266700	0.06698107	-0.46941500	-0.03124700
0.03968250	0.18372566	-0.03968250	0.08065873
0.00967867	0.05733213	0.00967867	-0.01204994
0.56295800	0.05773198	-0.19884300	-0.08624158
0.54232800	0.11849168	-0.54894200	0.04511831
0.31746000	0.51922089	-0.50000000	-0.34742948
0.77380900	0.37219965	-0.13888900	-0.26694843
0.30003900	0.61961722	-0.32423500	0.00963624
-0.16935600	-0.03734350	-0.89161200	-0.69096905
0.05323270	0.07759513	0.78881100	0.19797648
0.90011600	0.12038592	-0.09678670	-0.04872874
0.03174600	0.52002811	0.84920600	0.26584294
0.43650800	0.44827622	-0.87301600	-0.25320736
-0.20016900	0.08291433	0.20016900	-0.04682473
0.09481670	0.09922080	0.50568900	0.16468428
-0.45301300	0.07962701	-0.22123900	-0.19996116
0.00431332	0.08278911	0.00431332	-0.16978449
-0.16611300	0.10322895	0.82553100	0.14605743
0.79365100	0.51255590	-0.11614400	0.09121686
-0.18013800	0.31700033	-0.68139100	-0.17803460
0.86140100	0.57594872	-0.05807200	0.03239382
0.79365100	0.67964202	-0.07936510	-0.01324219
0.36747800	0.16707835	-0.30623200	-0.04388197
-0.34359300	0.00569800	-0.72590000	-0.13366869
0.65814900	0.02172911	-0.60007700	-0.20956813
0.77429300	0.49503285	-0.03387530	0.01592877
0.80952400	0.34963679	-0.08730160	-0.00890013
0.84910500	0.70965844	-0.06265660	0.03185672
0.37262900	0.04444855	-0.15969800	0.12516226
0.48309200	0.50262254	-0.16821900	-0.15682426
-0.00483933	0.25039291	-0.90495600	-0.05593437
0.48393300	0.05493541	-0.45005800	0.14171384
0.90011600	0.54167545	-0.10162600	0.05260617
0.00793651	0.01829369	0.00793651	-0.08677831
0.61943500	0.24292868	-0.07259000	-0.11719564
0.16460000	0.04822102	0.71198900	0.19377638
-0.37752900	0.05474964	-0.64935100	-0.01443276
-0.25403500	0.15997666	-0.79697100	-0.19947805
0.50085600	0.07921020	0.22148400	0.01896620
-0.64285700	0.16258526	-0.07142860	0.05062280
-0.46031700	0.16670741	-0.80158700	-0.01561657
0.40545200	0.18071674	0.09920630	-0.15950188
0.84920600	0.45051044	-0.12698400	0.05640729
-0.33875300	0.07976305	-0.75493600	-0.37827787
0.74273100	0.51227176	-0.54783000	-0.23537365
0.81191500	0.34414816	-0.47818300	-0.30095148
-0.34127000	0.03152708	-0.17460300	-0.26025799
0.83236500	0.22909644	-0.06775070	-0.03014534
-0.02380950	0.05073378	-0.67460300	-0.10573675
0.66298900	0.06889361	-0.61459500	0.21784806
0.31455700	0.17805228	-0.71622100	0.03992214
0.43995900	0.38272190	-0.15096600	-0.24417081
0.42857100	0.13539484	-0.24603200	-0.12556611
-0.24433400	0.02373512	-0.77718900	0.01664962
0.20634900	0.08979487	-0.53174600	0.03634635
-0.12098300	0.10657372	0.44037900	0.07192276
0.07142860	0.08630323	0.84920600	0.15285255
0.47909400	0.04379683	-0.42586100	0.01662063
0.64363100	0.15503956	-0.64363100	-0.02917248
0.28709200	0.24001935	0.89572800	0.18567030
0.81151400	0.17632596	0.14546000	-0.16633408
0.44037900	0.04470988	0.09194730	-0.03021641
0.64285700	-0.00485691	-0.62698400	-0.48888406
-0.00793651	0.11976088	-0.60317500	-0.21952607
0.79365100	0.42853999	-0.11904800	-0.24589768
0.41536900	0.24088579	-0.00370865	-0.08142778
0.80693400	0.15904313	-0.47320200	-0.05021287
0.50000000	0.44084829	0.01587300	-0.03850445
-0.12055500	0.09885573	-0.29385200	-0.13584824
0.01587300	0.04552219	-0.00793651	0.06564232
0.57780400	0.62308937	0.36361800	0.12034642
0.81689600	0.01539376	-0.45327800	-0.12070383
-0.14518000	0.26864022	-0.30487800	-0.00204298
0.33875300	0.37011749	-0.78881100	-0.25656486
0.76210400	0.10435951	-0.11954600	-0.28485897
0.66298900	0.14065892	-0.64847100	-0.00264481
0.41269800	0.04225823	-0.86507900	-0.16050194
0.50329100	0.05865122	-0.23228800	0.03111897
0.46825400	0.49317765	-0.71428600	-0.23228900
0.66798900	0.35202056	0.11904800	-0.07750662
0.54791800	0.22717930	0.36361800	-0.00147163
0.51780900	0.02816275	-0.46457600	0.10319220
0.65814900	0.06239549	-0.41618300	-0.06141079
0.33871300	0.19506010	0.76210400	0.23759364
0.03387530	0.25514513	0.32907500	-0.11161027
0.88075900	0.23274551	-0.08710800	-0.27086788
0.45489700	0.17629075	-0.75977500	-0.34667060
0.50105500	0.04496979	-0.30515400	0.01112176
0.47425500	0.06750010	-0.76461500	-0.18194610
0.81191500	0.18487637	-0.47818300	-0.07963479
0.47909400	0.42908317	-0.81300800	-0.30205569
0.37301600	0.10667402	-0.86507900	-0.00372727
0.44997200	0.11550040	-0.64484100	-0.42223516
0.06349210	0.05160683	0.50793600	0.13927576
0.78397200	0.26710597	0.45005800	0.06326307
0.75493600	0.36878872	-0.11130500	0.10625152
-0.15939400	0.23636535	-0.86670600	-0.37689212
0.43554000	0.68531770	-0.76461500	0.10612247
0.61904800	0.42941320	-0.06349210	0.04521772
0.76984100	0.49010909	-0.38888900	-0.29199061
0.69841300	0.67560780	-0.66666700	-0.05194385
-0.15211600	0.10368003	-0.96560800	-0.65075117
0.00000000	0.08666824	0.00793651	0.01981294
0.09678670	0.37968707	-0.38230700	-0.05922431
-0.12508600	0.24507993	-0.48309200	-0.13146175
-0.22912900	0.09604824	-0.79697100	-0.03069117
0.36778900	0.42968053	-0.81784700	0.02017480
0.80158700	0.42392063	0.26984100	0.07078350
0.63395300	0.09837473	-0.63395300	0.04252923
0.10535200	0.13727102	-0.30025300	-0.06789328
0.46317600	0.30370796	-0.40958500	-0.01618367
-0.29365100	0.01097636	-0.68254000	0.10738543
0.56881100	0.07671862	-0.53105800	0.01657336
0.19841300	0.37623161	0.62698400	0.25739387
0.82752600	0.20820801	-0.07259000	-0.14018603
0.10008400	0.17219043	0.51095700	0.23031329
0.36507900	0.40696722	-0.92063500	-0.12738542
0.65814900	0.01685436	-0.65814900	0.08413199
0.49171800	0.36797202	-0.07763980	-0.07141446
0.04839330	0.21390924	0.43070100	0.07249292
0.08710800	0.18907113	0.41618300	0.26695007
0.61904800	0.02869986	-0.69047600	0.14002524
0.39198600	0.06358854	-0.13066200	0.01046081
0.38230700	0.07097198	-0.33875300	0.13711701
0.29629600	0.17467421	-0.66137600	-0.10601494
0.40476200	0.13958752	-0.58730200	-0.10966981
-0.00793651	0.12061168	0.53968300	0.07760742
-0.20703900	0.02497563	-0.54347800	-0.18681267
0.00000000	0.09764443	0.00661376	0.01864796
0.20670600	0.08334101	0.83065400	-0.00666947
0.08954910	0.06729824	0.50568900	0.16981979
0.71227200	0.23956230	-0.60908100	-0.09831397
0.90148400	0.49991816	-0.05607320	0.03629109
0.01587300	0.07286527	0.00793651	-0.05733240
0.42102200	0.18786035	-0.70170300	-0.37826014
0.47818300	0.16934600	-0.32377000	-0.15562990
0.41269800	0.33000416	-0.71428600	-0.30838382
0.61914800	0.06219820	-0.59146300	0.02767785
0.42102200	0.58808804	-0.77913300	0.05367659
0.50568900	0.35645092	-0.72166000	-0.33264479
0.62698400	0.01578110	-0.63492100	0.17806959
-0.01935730	0.11619438	0.87108000	0.20199965
0.29761900	0.13246392	0.75914400	0.17386562
0.20634900	0.39757401	0.85714300	0.13093314
0.83720500	0.28127035	0.49361200	0.24939354
-0.30158700	0.20056486	-0.21428600	-0.16922854
0.76190500	0.47905052	-0.37301600	0.01281277
0.48933700	0.43603754	-0.58428300	0.00484769
0.64363100	0.04990484	-0.63395300	0.02395079
0.79365100	0.73611325	-0.40650400	-0.27555966
0.13169000	0.19058982	0.53202700	0.21838297
0.84678200	0.87759203	-0.11954600	0.11145452
0.36231900	0.30600703	-0.11646000	0.05794425
0.21896700	0.14688268	0.78777800	0.26402852
0.68234600	0.25470400	-0.66782800	0.13107650
0.39682500	0.01023854	-0.75493600	-0.02545753
-0.16420400	0.23216200	-0.27871400	-0.18749228
0.47619000	0.06855038	0.25396800	-0.03483745
