root_mean_squared_error:
[0.2711443305015564, 0.26929596066474915, 0.2678162455558777]
val_root_mean_squared_error:
[0.38992130756378174, 0.40531468391418457, 0.40482473373413086]

MnasNet_AroVal_E10_B8_D0_A1.0_DEPTH1_Adam0.001_AUGFULL_SHUFFLE
Images: 3999
Arousal average RMSE: 0.35764233
Valence average RMSE: 0.41004015
Average total RMSE: 0.38384124

GT_aro	pred_aro	GT_val	pred_val
-0.07763980	0.01793394	-0.17684600	-0.17752382
0.18389500	0.15664235	-0.36778900	-0.22754994
0.53232700	0.08693485	-0.06291130	-0.21154544
-0.00483933	0.04608450	0.00483933	-0.03925750
-0.50793600	0.06772553	-0.64285700	-0.15626150
0.48316400	0.65034842	-0.59772900	-0.53222704
0.28571400	0.50729853	-0.30952400	-0.47307038
-0.37926700	-0.07196811	-0.14749300	-0.48182955
0.65814900	0.07821269	-0.64847100	-0.18796194
0.61111100	0.01543716	-0.62698400	0.14133471
0.35714300	0.28506279	-0.53968300	-0.29121980
0.11588700	0.05098734	0.53729500	0.58587968
0.79365100	0.75251973	-0.24603200	-0.19014603
-0.37301600	0.30889028	-0.79365100	-0.49658632
0.65331000	0.02459043	-0.64363100	0.42026186
0.93883100	0.24696805	-0.15969800	-0.32045591
-0.22222200	0.16507819	-0.57142900	-0.28029728
0.75396800	0.01412277	-0.23809500	-0.02524374
-0.17684600	0.05547225	-0.56504500	0.01551242
-0.23499600	-0.01746522	-0.85476700	-0.43044898
0.56349200	0.02044715	-0.18254000	0.43790007
0.75026800	0.19274119	0.06890210	-0.05538990
-0.15276000	0.07774267	-0.31605600	-0.20005053
0.33391400	0.01774710	-0.30003900	0.48407155
0.08730160	0.02337576	0.61111100	0.47140127
0.73326400	0.75808620	0.22429300	0.05428904
-0.38888900	-0.15155862	-0.76984100	-0.50331748
0.47619000	0.73228031	-0.69841300	-0.41676694
0.64847100	0.01970555	-0.64363100	0.28390345
-0.32408600	0.07560720	-0.84478400	-0.14269130
0.23712700	0.02931688	-0.23712700	0.02478297
0.80385800	0.63852268	0.18756700	-0.04501447
0.63259600	0.58710319	-0.34867500	-0.48836270
-0.06775070	0.26935881	-0.09194730	-0.27936649
-0.34843200	-0.02049918	-0.55652300	-0.19587705
-0.20287900	-0.00167400	-0.73878400	-0.46333009
0.08858350	0.06416102	0.92256500	0.65930241
0.54761900	0.17853087	-0.17460300	-0.20700389
0.65814900	0.04493664	-0.64847100	-0.02311846
0.52505700	0.03595353	-0.43928100	0.16705492
0.65873000	0.26312619	-0.59523800	-0.31202888
0.75977500	0.13884896	0.39682500	-0.13865563
0.45301300	0.28725326	-0.75853300	-0.29024339
0.48740500	0.06108278	0.12508600	0.03939863
0.15079400	0.01860814	0.30952400	0.08061016
0.42102200	0.41665268	-0.75493600	-0.45006102
