.\nets\MobileNetV2\
Images: 3999
Arousal average RMSE: 0.30326436
Valence average RMSE: 0.37885539
Average total RMSE: 0.34105987

GT_aro	GT_val	pred_aro	pred_val
-0.05555560	-0.17684600	-0.04325467	-0.40844187
0.00431332	-0.36778900	0.10481786	-0.27633804
0.00793651	-0.06291130	-0.24169439	-0.49706191
0.03889030	0.00483933	-0.00845146	-0.07848033
0.54761900	-0.64285700	0.00655168	-0.17653373
0.83183900	-0.59772900	0.06294280	-0.79424709
0.24905400	-0.30952400	0.44872493	-0.58781707
0.08428150	-0.14749300	-0.32561150	-0.80665070
-0.12582300	-0.64847100	-0.17431584	-0.40538844
-0.06349210	-0.62698400	-0.06498700	0.42973062
0.81746000	-0.53968300	-0.13682583	-0.32858136
-0.24237200	0.53729500	0.03608664	0.69132113
0.11111100	-0.24603200	0.76840967	-0.15828879
-0.06349210	-0.79365100	-0.18708712	-0.57137412
0.20764100	-0.64363100	0.17093734	0.55221641
0.18389500	-0.15969800	-0.10518529	-0.34560448
0.08965930	-0.57142900	-0.02628017	0.02832078
0.01587300	-0.23809500	-0.02843973	0.20400257
0.36507900	-0.56504500	-0.03607508	-0.35253420
-0.00431332	-0.85476700	-0.19637680	-0.54297185
0.32875100	-0.18254000	-0.00093377	0.63359678
0.01587300	0.06890210	-0.10440191	-0.30269551
0.26017000	-0.31605600	-0.12287887	-0.43671134
-0.26903400	-0.30003900	-0.02310972	0.29270548
-0.22912900	0.61111100	0.08243404	0.16139492
-0.24407300	0.22429300	0.65164965	0.08085441
0.24196700	-0.76984100	-0.02657173	-0.28000465
0.08428150	-0.69841300	0.55045062	-0.26250675
-0.00793651	-0.64363100	0.00913236	0.61080027
-0.22744900	-0.84478400	-0.01901515	-0.32285506
0.52799400	-0.23712700	-0.04095368	0.05771068
0.16453700	0.18756700	0.30392039	0.17428397
0.87301600	-0.34867500	0.53635544	-0.45850846
0.00967867	-0.09194730	0.44714603	-0.47990116
0.81784700	-0.55652300	0.02175157	-0.06136639
0.15096600	-0.73878400	0.06613867	-0.57156640
0.09523810	0.92256500	0.08508384	0.69182873
0.16906200	-0.17460300	0.19751438	-0.10646438
-0.27100300	-0.64847100	-0.09294662	0.50407243
0.02988640	-0.43928100	0.07769582	-0.40840513
0.00793651	-0.59523800	-0.01836249	-0.12848388
0.07332640	0.39682500	0.03210431	-0.44445971
0.00793651	-0.75853300	-0.10392987	-0.42721587
-0.33333300	0.12508600	0.00493834	-0.06952527
-0.08837600	0.30952400	-0.22069192	-0.35407138
0.15873000	-0.75493600	0.43666977	-0.43911332
-0.01451800	-0.46031700	0.09826636	0.37871960
0.09057970	0.78700900	0.12961131	0.61763734
0.75009700	-0.16856300	0.69378346	0.20446244
0.25646900	0.36778900	-0.00573957	-0.39397880
0.47425500	-0.75009700	0.01281827	0.63880062
0.00431332	0.19179900	-0.01371589	0.36891147
0.00000000	-0.72222200	0.84714454	-0.06964619
0.11904800	-0.65261000	-0.03565317	0.48177525
0.46881600	-0.03968250	0.29245898	-0.12793311
0.41269800	0.17421600	-0.07469305	0.08911370
