root_mean_squared_error:
[0.4198276996612549, 0.37205326557159424, 0.34576258063316345, 0.3326128125190735, 0.3238201439380646, 0.31622669100761414, 0.30995050072669983, 0.3050191402435303, 0.3004775643348694, 0.2973325550556183, 0.29439279437065125, 0.2921793460845947, 0.28969117999076843, 0.2877381145954132, 0.28572899103164673, 0.28433701395988464, 0.28241240978240967, 0.28137752413749695, 0.280068963766098, 0.2788330912590027, 0.27787017822265625, 0.2767712473869324, 0.2756079435348511, 0.2748110592365265, 0.27364563941955566]
val_root_mean_squared_error:
[0.5391234159469604, 0.4751899540424347, 0.4386611580848694, 0.44976016879081726, 0.45685291290283203, 0.43829795718193054, 0.4171818792819977, 0.417280375957489, 0.41709572076797485, 0.42863500118255615, 0.40620800852775574, 0.4263230264186859, 0.4108926057815552, 0.4323049485683441, 0.4157448709011078, 0.4149426221847534, 0.3835574984550476, 0.40846094489097595, 0.40182366967201233, 0.39256590604782104, 0.4248920679092407, 0.41531315445899963, 0.39800727367401123, 0.39757031202316284, 0.3985894024372101]

MobileNetV2_AroVal_B32_E25_D0.2_SGD_0.01_AUGFULL_SHUFFLE
Images: 3999
Arousal average RMSE: 0.38376179
Valence average RMSE: 0.42315606
Average total RMSE: 0.40345893

GT_aro	pred_aro	GT_val	pred_val
-0.07763980	-0.07950303	-0.17684600	-0.27012980
0.18389500	0.13314557	-0.36778900	-0.19917862
0.53232700	0.36733654	-0.06291130	0.01278339
-0.00483933	-0.02222561	0.00483933	-0.16383027
-0.50793600	-0.00401205	-0.64285700	-0.33825278
0.48316400	0.67297822	-0.59772900	-0.37574673
0.28571400	0.41711882	-0.30952400	-0.34060305
-0.37926700	-0.11914998	-0.14749300	-0.45938468
0.65814900	-0.05717097	-0.64847100	-0.21067135
0.61111100	0.00161171	-0.62698400	0.05414859
0.35714300	0.07215281	-0.53968300	-0.21750776
0.11588700	0.06662603	0.53729500	0.62133861
0.79365100	0.81281084	-0.24603200	-0.15127604
-0.37301600	0.00783715	-0.79365100	-0.70350152
0.65331000	0.04961234	-0.64363100	0.51268315
0.93883100	-0.00799126	-0.15969800	-0.25353312
-0.22222200	0.02564523	-0.57142900	-0.19769330
0.75396800	-0.00638576	-0.23809500	-0.08832565
-0.17684600	-0.01108120	-0.56504500	-0.09696504
-0.23499600	0.02994284	-0.85476700	-0.36061496
0.56349200	-0.00272438	-0.18254000	0.48106241
0.75026800	-0.02943353	0.06890210	-0.21040402
-0.15276000	-0.06977049	-0.31605600	-0.24233656
0.33391400	0.01507710	-0.30003900	0.42005545
