root_mean_squared_error:
[0.34858477115631104, 0.3006857931613922, 0.28873732686042786, 0.28241801261901855, 0.2785649597644806, 0.27531760931015015, 0.2726345658302307, 0.27048391103744507, 0.268308162689209, 0.26652631163597107]
val_root_mean_squared_error:
[0.3911624848842621, 0.4114285111427307, 0.40687230229377747, 0.4271945357322693, 0.38579055666923523, 0.4110628664493561, 0.42627233266830444, 0.42167818546295166, 0.4087705910205841, 0.40912652015686035]

.\nets\MobileNetV2\
Images: 3999
Arousal average RMSE: 0.36021194
Valence average RMSE: 0.41192893
Average total RMSE: 0.38607043

GT_aro	pred_aro	GT_val	pred_val
-0.07763980	-0.01474800	-0.17684600	-0.19106853
0.18389500	0.04008973	-0.36778900	-0.15076832
0.53232700	0.37027574	-0.06291130	-0.08173967
-0.00483933	0.01669414	0.00483933	-0.05159500
-0.50793600	-0.08557184	-0.64285700	-0.30733588
0.48316400	0.72581714	-0.59772900	-0.47113433
0.28571400	0.37462848	-0.30952400	-0.30547899
-0.37926700	-0.04556033	-0.14749300	-0.34517458
0.65814900	0.01532494	-0.64847100	-0.10473295
0.61111100	-0.00222955	-0.62698400	0.09180748
0.35714300	0.16231567	-0.53968300	-0.17514175
0.11588700	0.08659793	0.53729500	0.60967159
0.79365100	0.68128192	-0.24603200	-0.17727183
-0.37301600	0.29274917	-0.79365100	-0.50935990
0.65331000	0.01318276	-0.64363100	0.51302016
0.93883100	0.19589444	-0.15969800	-0.26844099
-0.22222200	0.23645794	-0.57142900	-0.26304126
0.75396800	-0.00681264	-0.23809500	-0.07303595
-0.17684600	0.00680548	-0.56504500	-0.03454763
-0.23499600	-0.16855237	-0.85476700	-0.67318189
0.56349200	0.00766746	-0.18254000	0.39934728
0.75026800	0.01621668	0.06890210	-0.04829051
-0.15276000	0.00262209	-0.31605600	-0.13124606
0.33391400	0.02457145	-0.30003900	0.42003852
0.08730160	0.01481207	0.61111100	0.42236495
0.73326400	0.74494153	0.22429300	0.08991157
-0.38888900	-0.12093808	-0.76984100	-0.31298122
0.47619000	0.66662478	-0.69841300	-0.17642967
0.64847100	0.00900541	-0.64363100	0.40087599
-0.32408600	0.25065261	-0.84478400	-0.08247722
0.23712700	0.00169991	-0.23712700	0.01602267
0.80385800	0.62318450	0.18756700	0.06624173
0.63259600	0.57351786	-0.34867500	-0.36938518
-0.06775070	0.15696770	-0.09194730	-0.18906067
-0.34843200	-0.04060182	-0.55652300	-0.14381440
-0.20287900	-0.06608014	-0.73878400	-0.43460974
0.08858350	0.11272974	0.92256500	0.67876434
0.54761900	0.02568703	-0.17460300	0.14788838
0.65814900	-0.00417804	-0.64847100	0.02079504
0.52505700	0.08776591	-0.43928100	-0.04607784
0.65873000	0.08490737	-0.59523800	-0.10684714
0.75977500	0.21343178	0.39682500	-0.06736577
0.45301300	0.05290360	-0.75853300	0.03672586
0.48740500	0.02337159	0.12508600	0.16991055
0.15079400	0.02125139	0.30952400	0.09362973
0.42102200	0.12846480	-0.75493600	-0.26419172
0.27777800	0.03942760	-0.46031700	-0.10310987
0.35863700	0.22121884	0.78700900	0.70466441
0.79013900	0.75145584	-0.16856300	-0.00307537
0.76461500	-0.14990684	0.36778900	-0.37958151
0.37262900	0.14433347	-0.75009700	0.33333111
0.76719600	0.52104980	0.19179900	0.20552890
0.45238100	0.65785503	-0.72222200	0.06945944
0.66695400	0.00267918	-0.65261000	0.55369943
-0.03174600	0.20630038	-0.03968250	-0.09439739
0.02419670	0.03915790	0.17421600	0.40556636
0.78397200	0.02476639	0.36778900	0.15227707
0.74603200	0.29254347	0.16666700	0.01431670
0.90157400	0.82619613	-0.16437500	-0.27861148
