root_mean_squared_error:
[0.6453454494476318, 0.341403603553772, 0.32735419273376465, 0.3152933418750763, 0.3077966868877411, 0.3025625944137573, 0.2991982102394104, 0.2962495684623718, 0.2941828668117523, 0.2924625873565674]
val_root_mean_squared_error:
[0.5028717517852783, 0.4647996127605438, 0.4172387719154358, 0.4005393981933594, 0.4157783091068268, 0.4397205114364624, 0.4829719364643097, 0.43074074387550354, 0.46973487734794617, 0.4647654891014099]

MobileNetV2_AroVal_B8_E10_D0_Adam_0.01_AUGFULL_SHUFFLE
Images: 3999
Arousal average RMSE: 0.38146476
Valence average RMSE: 0.41944322
Average total RMSE: 0.40045399

GT_aro	pred_aro	GT_val	pred_val
-0.07763980	0.11120790	-0.17684600	-0.20983514
0.18389500	0.06893027	-0.36778900	-0.26244885
0.53232700	0.50854146	-0.06291130	-0.37227705
-0.00483933	0.07515544	0.00483933	-0.37902534
-0.50793600	0.62514204	-0.64285700	-0.37044108
0.48316400	0.56077200	-0.59772900	-0.95614046
0.28571400	0.18545377	-0.30952400	-0.54695809
-0.37926700	0.12639099	-0.14749300	-0.45703310
0.65814900	0.16057080	-0.64847100	-0.23863530
0.61111100	0.02674788	-0.62698400	-0.22488642
0.35714300	0.07618526	-0.53968300	-0.26132464
0.11588700	0.02507690	0.53729500	0.31288427
0.79365100	0.71578836	-0.24603200	-0.51513201
-0.37301600	0.32102698	-0.79365100	-0.75337267
0.65331000	0.07247168	-0.64363100	0.11310650
0.93883100	0.23752856	-0.15969800	-0.33171564
-0.22222200	0.00915697	-0.57142900	-0.27854055
0.75396800	0.15176719	-0.23809500	-0.36420414
-0.17684600	-0.00068432	-0.56504500	-0.25755334
-0.23499600	0.22231811	-0.85476700	-0.29141164
0.56349200	0.07237977	-0.18254000	-0.06992887
0.75026800	0.12087703	0.06890210	-0.33356273
-0.15276000	0.09113777	-0.31605600	-0.38121080
0.33391400	0.52365363	-0.30003900	-0.19911885
0.08730160	0.14895403	0.61111100	0.07167163
0.73326400	0.91038668	0.22429300	-0.34077853
-0.38888900	0.13684982	-0.76984100	-0.15972793
0.47619000	0.29534382	-0.69841300	-0.45772690
0.64847100	0.07756597	-0.64363100	0.15194798
-0.32408600	0.55065858	-0.84478400	-0.20459792
0.23712700	0.09232378	-0.23712700	-0.31285816
0.80385800	0.15995607	0.18756700	-0.22779924
0.63259600	0.37032104	-0.34867500	-0.75673735
-0.06775070	0.72195172	-0.09194730	-0.63501865
-0.34843200	-0.01016980	-0.55652300	-0.24911490
-0.20287900	0.22763899	-0.73878400	-0.48041815
0.08858350	0.09424457	0.92256500	0.58660507
0.54761900	0.05895847	-0.17460300	-0.27945536
0.65814900	0.33286315	-0.64847100	-0.24231088
0.52505700	0.02188596	-0.43928100	-0.23678088
0.65873000	0.40973699	-0.59523800	-0.32251245
0.75977500	0.16534200	0.39682500	-0.31343591
0.45301300	0.25185996	-0.75853300	-0.03311053
0.48740500	0.27698410	0.12508600	-0.05686438
0.15079400	0.49550033	0.30952400	-0.22131395
0.42102200	0.16604033	-0.75493600	-0.51740044
0.27777800	0.05674386	-0.46031700	-0.16709521
0.35863700	0.09893942	0.78700900	0.57382667
0.79013900	0.98142803	-0.16856300	-0.38065374
0.76461500	0.25160235	0.36778900	-0.39190334
0.37262900	0.21143132	-0.75009700	-0.04100731
0.76719600	0.32176155	0.19179900	0.02606419
0.45238100	0.79721165	-0.72222200	-0.34619784
0.66695400	0.01272941	-0.65261000	0.11019059
-0.03174600	0.12684438	-0.03968250	-0.40027416
0.02419670	0.24630743	0.17421600	-0.07370371
0.78397200	0.54920840	0.36778900	-0.17898551
0.74603200	0.17945328	0.16666700	-0.37654069
0.90157400	0.92572451	-0.16437500	-0.59131712
