root_mean_squared_error:
[0.3975500464439392, 0.33751389384269714, 0.31898361444473267, 0.30891838669776917, 0.30154260993003845, 0.29589828848838806, 0.2911747992038727, 0.28788724541664124, 0.28460991382598877, 0.28184133768081665, 0.2798348367214203, 0.27772265672683716, 0.2761082053184509, 0.2744216322898865, 0.2727954685688019, 0.27171584963798523, 0.270415335893631, 0.26927605271339417, 0.2681076228618622, 0.2670143246650696, 0.26609495282173157, 0.26526162028312683, 0.2645421326160431, 0.26356348395347595, 0.26273787021636963]
val_root_mean_squared_error:
[0.4761655330657959, 0.4564563035964966, 0.47050192952156067, 0.4448356628417969, 0.4555862843990326, 0.4369124174118042, 0.4433498978614807, 0.4270039498806, 0.429887980222702, 0.4340456426143646, 0.4183942377567291, 0.43134805560112, 0.43798017501831055, 0.424526572227478, 0.40125933289527893, 0.4136209189891815, 0.3867412507534027, 0.42259156703948975, 0.40988847613334656, 0.39987874031066895, 0.41258788108825684, 0.44280150532722473, 0.4128113389015198, 0.4088956117630005, 0.4057004749774933]

MobileNetV2_AroVal_B8_E25_D0.2_SGD_lr_0.01_AUGFULL_SHUFFLE
Images: 3999
Arousal average RMSE: 0.39274318
Valence average RMSE: 0.43027446
Average total RMSE: 0.41150882

GT_aro	pred_aro	GT_val	pred_val
-0.07763980	-0.06755278	-0.17684600	-0.41163057
0.18389500	0.04554899	-0.36778900	-0.21248820
0.53232700	-0.04567621	-0.06291130	-0.27455330
-0.00483933	-0.02788859	0.00483933	-0.21809271
-0.50793600	-0.14871138	-0.64285700	-0.52942270
0.48316400	0.76325715	-0.59772900	-0.65706921
0.28571400	0.37962765	-0.30952400	-0.49846342
-0.37926700	-0.11435603	-0.14749300	-0.46638656
0.65814900	-0.05228164	-0.64847100	-0.18540817
0.61111100	-0.10388841	-0.62698400	-0.20172313
0.35714300	-0.01762534	-0.53968300	-0.27031654
0.11588700	0.10442071	0.53729500	0.62326759
0.79365100	0.73205900	-0.24603200	-0.11836351
-0.37301600	-0.02290567	-0.79365100	-0.79949677
0.65331000	-0.00356396	-0.64363100	0.49350157
0.93883100	0.26087382	-0.15969800	-0.19983807
-0.22222200	0.13749170	-0.57142900	-0.35951579
0.75396800	-0.06466137	-0.23809500	-0.23408651
-0.17684600	-0.06698658	-0.56504500	-0.27725586
-0.23499600	-0.28529933	-0.85476700	-0.96735036
0.56349200	-0.04144811	-0.18254000	0.51560670
0.75026800	0.30231112	0.06890210	-0.00896613
-0.15276000	-0.11604050	-0.31605600	-0.35694787
0.33391400	0.07056144	-0.30003900	0.31151271
0.08730160	-0.04323167	0.61111100	0.48003682
0.73326400	0.77931345	0.22429300	0.12738025
-0.38888900	-0.34088632	-0.76984100	-0.96704555
0.47619000	0.65485555	-0.69841300	-0.29383805
0.64847100	-0.01311193	-0.64363100	0.23935005
-0.32408600	-0.24053951	-0.84478400	-0.99582297
0.23712700	-0.06605072	-0.23712700	-0.10289305
0.80385800	0.67489153	0.18756700	0.00948960
0.63259600	0.44110742	-0.34867500	-0.41729540
-0.06775070	-0.01995447	-0.09194730	-0.20308813
-0.34843200	-0.15399885	-0.55652300	-0.34647673
-0.20287900	-0.12790146	-0.73878400	-0.56785387
0.08858350	0.10253461	0.92256500	0.68525314
0.54761900	-0.00656565	-0.17460300	0.17354673
0.65814900	-0.06143191	-0.64847100	0.02255557
0.52505700	-0.02160934	-0.43928100	0.12957180
0.65873000	0.09250459	-0.59523800	-0.28036991
0.75977500	0.08562259	0.39682500	-0.29037216
0.45301300	0.06823833	-0.75853300	-0.02202353
0.48740500	-0.07094820	0.12508600	-0.17706412
0.15079400	-0.07764497	0.30952400	-0.00759327
