root_mean_squared_error:
[0.3861076533794403, 0.34485292434692383, 0.3291621506214142, 0.31957492232322693, 0.31051209568977356, 0.3026428818702698, 0.2974421977996826, 0.29406964778900146, 0.2913222014904022, 0.2890404760837555, 0.28689801692962646, 0.285444051027298, 0.28412261605262756, 0.28300341963768005, 0.28239259123802185, 0.281374990940094, 0.28045016527175903, 0.2795451879501343, 0.2790301740169525, 0.2784894108772278, 0.27777814865112305, 0.277241051197052, 0.27657467126846313, 0.27600160241127014, 0.2754768133163452]
val_root_mean_squared_error:
[0.502436637878418, 0.4820040762424469, 0.44957855343818665, 0.45191261172294617, 0.4523877501487732, 0.3981228172779083, 0.4212839603424072, 0.41040197014808655, 0.4015018343925476, 0.41313284635543823, 0.41021230816841125, 0.40234285593032837, 0.4210456907749176, 0.4242657423019409, 0.4275863468647003, 0.4010286331176758, 0.42212197184562683, 0.39329060912132263, 0.40495410561561584, 0.39944711327552795, 0.40715017914772034, 0.4023089110851288, 0.4096570611000061, 0.40708300471305847, 0.39911946654319763]

MobileNetV2_AroVal_B8_E25_D0.5_Adam_0.01_AUGFULL_SHUFFLE
Images: 3999
Arousal average RMSE: 0.35916296
Valence average RMSE: 0.43826032
Average total RMSE: 0.39871164

GT_aro	pred_aro	GT_val	pred_val
-0.07763980	0.04042953	-0.17684600	-0.17241761
0.18389500	0.07703468	-0.36778900	-0.18617898
0.53232700	0.19141701	-0.06291130	-0.25474113
-0.00483933	0.02021008	0.00483933	-0.07452546
-0.50793600	-0.03281721	-0.64285700	-0.24814057
0.48316400	0.61517888	-0.59772900	-0.53574163
0.28571400	0.37905684	-0.30952400	-0.34883535
-0.37926700	0.06372418	-0.14749300	-0.33434477
0.65814900	0.00374107	-0.64847100	-0.08275747
0.61111100	0.00554368	-0.62698400	0.13807692
0.35714300	0.06554090	-0.53968300	-0.11300704
0.11588700	0.08567364	0.53729500	0.67242873
0.79365100	0.80412453	-0.24603200	-0.11559242
-0.37301600	0.31211916	-0.79365100	-0.47913212
0.65331000	0.04612493	-0.64363100	0.44326356
0.93883100	0.13506746	-0.15969800	-0.37218335
-0.22222200	0.08582679	-0.57142900	-0.18032253
0.75396800	0.00902259	-0.23809500	-0.05049168
-0.17684600	0.01060783	-0.56504500	-0.01685534
-0.23499600	0.20657717	-0.85476700	-0.45375264
0.56349200	0.01314391	-0.18254000	0.45859957
0.75026800	0.15771697	0.06890210	-0.04694578
-0.15276000	0.05306657	-0.31605600	-0.21824425
0.33391400	0.05667605	-0.30003900	0.49831447
0.08730160	0.04757454	0.61111100	0.58036339
0.73326400	0.78902227	0.22429300	0.06663912
-0.38888900	-0.06555372	-0.76984100	-0.47231513
0.47619000	0.66884327	-0.69841300	-0.32128772
0.64847100	0.01473719	-0.64363100	0.47478417
-0.32408600	0.12615073	-0.84478400	-0.16396672
0.23712700	0.01904417	-0.23712700	0.07327885
0.80385800	0.71053779	0.18756700	0.04187299
0.63259600	0.46102592	-0.34867500	-0.42086989
-0.06775070	0.00815580	-0.09194730	-0.16770715
