root_mean_squared_error:
[0.4162137806415558, 0.3735334575176239, 0.3513129949569702, 0.3394109308719635, 0.3314085006713867, 0.32526201009750366, 0.3199998736381531, 0.3153606355190277, 0.31157341599464417, 0.3083966076374054]
val_root_mean_squared_error:
[0.480569452047348, 0.4746408462524414, 0.4669699966907501, 0.4421977400779724, 0.4440022110939026, 0.4529189169406891, 0.4343400001525879, 0.4387192130088806, 0.42494669556617737, 0.4253411889076233]

MobileNetV3Large_AroVal_E10_B16_D0.0_SDG0.01AUGFULL_SHUFFLE_MINI
Images: 3999
Arousal average RMSE: 0.38967917
Valence average RMSE: 0.45836550
Average total RMSE: 0.42402234

GT_aro	pred_aro	GT_val	pred_val
-0.07763980	0.01476721	-0.17684600	-0.18095823
0.18389500	0.09596545	-0.36778900	-0.06992478
0.53232700	0.07672781	-0.06291130	-0.27857363
-0.00483933	0.04245510	0.00483933	-0.04644341
-0.50793600	0.36293149	-0.64285700	-0.10691582
0.48316400	0.57043856	-0.59772900	-0.64705932
0.28571400	0.29261714	-0.30952400	-0.22895524
-0.37926700	0.08471470	-0.14749300	-0.22518112
0.65814900	-0.01409384	-0.64847100	-0.20171908
0.61111100	-0.01826093	-0.62698400	0.13242394
0.35714300	0.25817764	-0.53968300	-0.04681901
0.11588700	0.07547700	0.53729500	0.70479459
0.79365100	0.56565464	-0.24603200	0.22710983
-0.37301600	0.23511809	-0.79365100	-0.64895773
0.65331000	-0.02881373	-0.64363100	0.44754109
0.93883100	0.15127802	-0.15969800	-0.37025854
-0.22222200	0.14639547	-0.57142900	-0.27768865
0.75396800	-0.05172599	-0.23809500	-0.07818464
-0.17684600	0.04890050	-0.56504500	0.30382732
-0.23499600	0.05846573	-0.85476700	0.22744830
0.56349200	0.01087441	-0.18254000	0.47099426
0.75026800	0.08055097	0.06890210	-0.10239340
-0.15276000	0.09751230	-0.31605600	-0.15905553
0.33391400	0.12314826	-0.30003900	0.21455446
0.08730160	0.02080123	0.61111100	0.38788682
0.73326400	0.71644145	0.22429300	0.09728047
-0.38888900	0.04721519	-0.76984100	-0.28804985
0.47619000	0.33033985	-0.69841300	-0.07264686
0.64847100	-0.02016006	-0.64363100	0.49500179
-0.32408600	0.17450315	-0.84478400	0.10949972
0.23712700	0.01429773	-0.23712700	0.30484310
0.80385800	0.13995552	0.18756700	0.04972092
0.63259600	0.23283696	-0.34867500	-0.18810737
-0.06775070	0.35881937	-0.09194730	-0.19598061
-0.34843200	-0.05864300	-0.55652300	0.02742732
-0.20287900	0.23839369	-0.73878400	-0.22614858
0.08858350	0.13383621	0.92256500	0.72012764
0.54761900	0.09414558	-0.17460300	0.08512248
0.65814900	-0.05329046	-0.64847100	0.17939743
0.52505700	0.08054657	-0.43928100	0.22783101
0.65873000	0.11745480	-0.59523800	-0.27934891
0.75977500	0.12640287	0.39682500	-0.04299626
0.45301300	0.10019921	-0.75853300	-0.01852949
0.48740500	0.04579616	0.12508600	-0.03298240
0.15079400	-0.04076367	0.30952400	-0.03591747
0.42102200	0.27264026	-0.75493600	-0.21679783
0.27777800	0.17341729	-0.46031700	0.16841279
0.35863700	0.26540348	0.78700900	0.76063144
0.79013900	0.59510088	-0.16856300	-0.15779474
0.76461500	0.17445907	0.36778900	-0.03291647
0.37262900	0.15606685	-0.75009700	0.54133809
