MobileNetV3Large_AroVal_E10_B16_D0.5_SDG0.01AUGFULL_SHUFFLE_MINI
Images: 3999
Arousal average RMSE: 0.41651282
Valence average RMSE: 0.45250127
Average total RMSE: 0.43450705

GT_aro	pred_aro	GT_val	pred_val
-0.07763980	-0.00284515	-0.17684600	-0.08965348
0.18389500	0.21716987	-0.36778900	-0.17821302
0.53232700	0.16170786	-0.06291130	-0.22827838
-0.00483933	-0.04128813	0.00483933	-0.11426754
-0.50793600	0.04594413	-0.64285700	-0.19566081
0.48316400	0.49578777	-0.59772900	-0.96682853
0.28571400	0.40183699	-0.30952400	-0.33261728
-0.37926700	0.09323563	-0.14749300	-0.32499659
0.65814900	0.02089510	-0.64847100	-0.18202122
0.61111100	-0.00542218	-0.62698400	-0.07594661
0.35714300	0.15068220	-0.53968300	-0.13281797
0.11588700	0.10344397	0.53729500	0.65707290
0.79365100	0.38822451	-0.24603200	0.33248472
-0.37301600	0.19522595	-0.79365100	-0.68599546
0.65331000	0.07979192	-0.64363100	0.48885900
0.93883100	0.22632362	-0.15969800	-0.25566906
-0.22222200	0.04847199	-0.57142900	-0.16555212
0.75396800	-0.01678840	-0.23809500	0.09268195
-0.17684600	0.01980579	-0.56504500	-0.20851715
-0.23499600	0.04917303	-0.85476700	0.29740727
0.56349200	0.05514526	-0.18254000	0.43191761
0.75026800	0.06063153	0.06890210	-0.18070374
-0.15276000	0.09660652	-0.31605600	-0.26673734
0.33391400	0.03748760	-0.30003900	0.31738621
0.08730160	0.09252983	0.61111100	0.41340905
0.73326400	0.47187519	0.22429300	-0.13102709
-0.38888900	0.08710070	-0.76984100	-0.23959528
0.47619000	0.13748698	-0.69841300	-0.14974116
0.64847100	0.03703365	-0.64363100	0.52601486
-0.32408600	0.04803780	-0.84478400	0.07434721
0.23712700	0.01034035	-0.23712700	0.23831770
0.80385800	0.06919665	0.18756700	0.12790179
0.63259600	0.31849524	-0.34867500	-0.29868680
-0.06775070	0.27377331	-0.09194730	-0.18948232
-0.34843200	0.01457198	-0.55652300	-0.00269781
-0.20287900	0.06170297	-0.73878400	-0.02524668
0.08858350	0.10099998	0.92256500	0.68138772
0.54761900	0.06899539	-0.17460300	0.37181851
0.65814900	0.03038783	-0.64847100	0.04082880
0.52505700	0.08523352	-0.43928100	0.24902704
0.65873000	0.12081371	-0.59523800	-0.18249668
0.75977500	0.09693168	0.39682500	-0.12074058
0.45301300	0.05871216	-0.75853300	-0.29515195
0.48740500	0.03694251	0.12508600	0.29357374
0.15079400	0.00494587	0.30952400	0.23703873
0.42102200	0.16318505	-0.75493600	-0.30905217
0.27777800	0.02692428	-0.46031700	-0.06240727
0.35863700	0.16479984	0.78700900	0.73489219
0.79013900	0.62027401	-0.16856300	-0.15201209
0.76461500	0.03858299	0.36778900	-0.12825517
0.37262900	0.23752156	-0.75009700	0.13549435
0.76719600	0.29569176	0.19179900	0.04779830
0.45238100	0.39889076	-0.72222200	-0.19153784
0.66695400	0.01251153	-0.65261000	0.53075016
-0.03174600	0.06565243	-0.03968250	-0.23090546
0.02419670	0.08057639	0.17421600	0.26400051
0.78397200	0.14764813	0.36778900	0.24801500
0.74603200	-0.02514476	0.16666700	0.10192558
0.90157400	0.97393030	-0.16437500	-0.23662381
0.13492100	0.08845074	0.91269800	0.59262466
0.89682500	0.23180984	0.23809500	-0.18863685
0.16666700	0.11113182	0.82539700	0.59507531
-0.06349210	0.05447293	-0.56349200	-0.03213936
0.01587300	0.17730224	0.54761900	0.18288027
0.82539700	0.21259007	-0.15873000	0.13498853
0.62911300	0.06666434	-0.10162600	0.47441143
0.66666700	0.03331370	0.15079400	0.27262637
0.07936510	0.20618145	0.35714300	0.33022594
-0.16437500	-0.02220047	-0.79697100	-0.02750833
-0.28571400	0.13892603	-0.61111100	-0.03311513
-0.23809500	0.28460482	-0.85714300	-0.38068789
-0.28087500	0.15276846	-0.94417100	-0.28979105
-0.24680600	0.00995953	-0.84204400	0.11138266
-0.18389500	0.00546676	-0.73557900	-0.18242778
-0.28571400	-0.00982106	-0.65079400	-0.08021213
0.76945400	0.07905105	-0.17905500	0.00073341
-0.00793651	0.22425278	0.51587300	-0.19838299
0.04593480	0.05062042	0.76557900	0.35652149
0.53232700	0.12078728	-0.70170300	-0.20763235
0.08195310	0.08320704	-0.03019320	-0.32422364
0.34075200	0.22993669	-0.14234000	-0.22843938
0.64363100	0.16419122	-0.11130500	-0.36912954
0.71428600	0.21328627	0.52380900	0.37181517
0.63879200	0.40065148	0.22260900	0.07347499
0.09523810	0.00688509	0.57142900	0.42939919
0.15802800	0.00525915	-0.44774500	0.36999309
-0.34127000	-0.00986248	-0.23809500	-0.36305726
0.46825400	0.01003165	-0.67460300	-0.36887586
0.68234600	0.07531111	-0.29519900	0.18280098
-0.21597100	-0.06105645	0.13169000	-0.05718786
-0.14034100	0.01311843	0.90011600	0.48319203
0.45828100	0.08982899	-0.71112500	-0.33036518
0.42586100	0.18408374	-0.72106100	-0.04719947
0.74525700	0.21199197	0.39198600	0.56724155
0.34075200	0.00228655	-0.59955100	0.30208331
0.47619000	0.08136071	-0.68254000	-0.29887915
0.52264800	0.20287535	-0.76945400	-0.16265412
0.08226870	0.13400370	0.49845100	0.48457891
0.05479180	0.05763010	-0.04482960	-0.00687726
0.48316400	0.07657560	-0.59772900	-0.22252752
-0.46031700	0.00726790	-0.67460300	-0.10544471
-0.00862664	0.17302923	-0.00431332	-0.25383461
0.00000000	0.02816456	0.53968300	0.48218960
0.41618300	0.20190486	-0.04355400	-0.29031605
0.11130500	0.20854157	0.77429300	0.08940369
0.96395900	0.18338217	-0.05033730	-0.17852961
0.00000000	-0.00786395	0.51587300	0.42509931
0.27100300	0.06873591	-0.09678670	-0.20265846
0.46527300	0.07819144	-0.44967800	-0.08300044
0.94851000	0.19897163	-0.05323270	-0.00162986
0.00431332	0.03453683	0.01725330	0.55179846
0.35714300	0.01117313	-0.83333300	0.00990970
-0.20809100	0.03911215	-0.36295000	-0.22772609
0.65033300	0.08335315	-0.60712100	0.04802955
0.67266700	0.06373553	-0.46941500	-0.12036775
0.03968250	0.04777636	-0.03968250	0.10697754
0.00967867	0.04284769	0.00967867	-0.19140308
0.56295800	0.26981145	-0.19884300	-0.00673650
0.54232800	0.07359700	-0.54894200	0.23866896
0.31746000	0.15615241	-0.50000000	-0.15983696
0.77380900	0.20601805	-0.13888900	-0.28106678
0.30003900	0.06843542	-0.32423500	-0.21163596
-0.16935600	0.11456211	-0.89161200	-0.58087975
0.05323270	0.04744056	0.78881100	0.59201068
0.90011600	-0.01220150	-0.09678670	-0.13657929
0.03174600	0.28828534	0.84920600	-0.03480199
0.43650800	0.39975318	-0.87301600	-0.43914562
-0.20016900	0.02310549	0.20016900	-0.14671268
0.09481670	0.06884264	0.50568900	0.57139760
-0.45301300	0.00666473	-0.22123900	-0.24850373
0.00431332	0.16220497	0.00431332	-0.09713063
-0.16611300	0.02288590	0.82553100	0.47686118
0.79365100	0.12103775	-0.11614400	-0.03268409
-0.18013800	0.30753911	-0.68139100	-0.41019261
0.86140100	0.23726122	-0.05807200	0.09896740
0.79365100	0.04320755	-0.07936510	-0.24115075
0.36747800	0.08328804	-0.30623200	0.05421524
-0.34359300	0.01868081	-0.72590000	-0.16269167
0.65814900	0.02334342	-0.60007700	-0.05338632
0.77429300	0.24750328	-0.03387530	-0.24635772
0.80952400	0.10757037	-0.08730160	-0.16738139
0.84910500	0.54908186	-0.06265660	-0.12861387
0.37262900	0.01300462	-0.15969800	0.30090123
0.48309200	0.33769590	-0.16821900	-0.41365087
-0.00483933	0.17101206	-0.90495600	-0.21173860
0.48393300	0.01868969	-0.45005800	0.46621501
0.90011600	0.15845224	-0.10162600	0.13778600
0.00793651	-0.00159872	0.00793651	0.09760705
0.61943500	0.13497365	-0.07259000	-0.12972905
0.16460000	0.18559898	0.71198900	0.39751738
-0.37752900	0.16838704	-0.64935100	0.05923149
-0.25403500	0.15608671	-0.79697100	-0.33624798
0.50085600	0.00088667	0.22148400	-0.08734395
-0.64285700	0.03156081	-0.07142860	0.24460292
-0.46031700	0.11278795	-0.80158700	-0.04085118
0.40545200	0.12430722	0.09920630	-0.26538289
0.84920600	0.25860304	-0.12698400	-0.09075139
-0.33875300	-0.00870993	-0.75493600	-0.37410295
0.74273100	0.34722415	-0.54783000	-0.38527852
0.81191500	0.13746148	-0.47818300	-0.35316378
-0.34127000	-0.01224596	-0.17460300	-0.09146446
0.83236500	0.16845155	-0.06775070	0.25036240
-0.02380950	0.04550986	-0.67460300	-0.26970875
0.66298900	0.04695731	-0.61459500	0.51486945
0.31455700	0.17634937	-0.71622100	-0.28549266
0.43995900	0.17705725	-0.15096600	-0.31275737
0.42857100	0.03675127	-0.24603200	-0.14413436
-0.24433400	0.09614468	-0.77718900	-0.15235712
0.20634900	0.06599732	-0.53174600	0.02410417
-0.12098300	0.06570451	0.44037900	0.22333819
0.07142860	0.04569864	0.84920600	0.54619795
0.47909400	0.01693725	-0.42586100	0.27910158
0.64363100	0.08571395	-0.64363100	-0.06266823
0.28709200	0.20267977	0.89572800	0.38623598
0.81151400	0.04885043	0.14546000	-0.14050065
0.44037900	0.03346089	0.09194730	-0.22666924
0.64285700	-0.02683030	-0.62698400	-0.47641486
-0.00793651	0.11519109	-0.60317500	-0.36996108
0.79365100	0.31561598	-0.11904800	-0.14204352
0.41536900	0.39937678	-0.00370865	-0.03216501
0.80693400	-0.00285573	-0.47320200	-0.17008705
