root_mean_squared_error:
[0.4242885708808899, 0.40003782510757446, 0.36929452419281006, 0.35469886660575867, 0.3453122675418854, 0.33761435747146606, 0.3314163386821747, 0.3258017897605896, 0.32136058807373047, 0.31703224778175354, 0.3133789598941803, 0.30976569652557373, 0.3067247271537781, 0.30405744910240173, 0.3018149435520172, 0.29929953813552856, 0.29714256525039673, 0.2956598103046417, 0.2939077317714691, 0.2923896908760071, 0.29078447818756104, 0.28955212235450745, 0.2882007658481598, 0.2872183918952942, 0.28591224551200867]
val_root_mean_squared_error:
[0.5342106819152832, 0.4842376708984375, 0.5075860023498535, 0.4599073529243469, 0.4854009449481964, 0.4720616936683655, 0.42824938893318176, 0.43181315064430237, 0.4344967007637024, 0.4521026313304901, 0.43412137031555176, 0.4273113012313843, 0.4185282588005066, 0.44216206669807434, 0.4321807324886322, 0.4219966530799866, 0.4376541078090668, 0.4087635576725006, 0.4129396677017212, 0.42110028862953186, 0.41454261541366577, 0.39484789967536926, 0.42596349120140076, 0.415653795003891, 0.3964349031448364]

MobileNetV3Large_AroVal_E25_B16_D0.2_SDG0.01_AUGFULL_SHUFFLE_MINI
Images: 3999
Arousal average RMSE: 0.37059033
Valence average RMSE: 0.42611382
Average total RMSE: 0.39835208

GT_aro	pred_aro	GT_val	pred_val
-0.07763980	0.06585403	-0.17684600	-0.10587756
0.18389500	0.23502418	-0.36778900	-0.18242982
0.53232700	0.28137979	-0.06291130	-0.10802647
-0.00483933	0.02913075	0.00483933	-0.16678962
-0.50793600	0.18980448	-0.64285700	-0.05527588
0.48316400	0.65164512	-0.59772900	-0.51173288
0.28571400	0.47800532	-0.30952400	-0.39218500
-0.37926700	-0.01633969	-0.14749300	-0.28616193
0.65814900	0.01236774	-0.64847100	-0.15523358
0.61111100	0.01387135	-0.62698400	0.01761671
0.35714300	0.19906546	-0.53968300	-0.20486599
0.11588700	0.12420961	0.53729500	0.68067193
0.79365100	0.84721488	-0.24603200	-0.05141746
-0.37301600	0.27681649	-0.79365100	-0.52882653
0.65331000	0.05003629	-0.64363100	0.53033167
0.93883100	0.27296728	-0.15969800	-0.14049837
-0.22222200	0.04949623	-0.57142900	-0.04493354
0.75396800	0.00846803	-0.23809500	-0.17531367
-0.17684600	0.24160999	-0.56504500	-0.16041043
-0.23499600	0.10854600	-0.85476700	0.12612990
0.56349200	-0.01207412	-0.18254000	0.43445048
0.75026800	0.32066667	0.06890210	-0.09306115
-0.15276000	-0.00969621	-0.31605600	-0.14929509
0.33391400	0.11920749	-0.30003900	0.36118668
0.08730160	0.04809281	0.61111100	0.46639761
0.73326400	0.65210271	0.22429300	-0.01992476
-0.38888900	0.08366274	-0.76984100	-0.23670447
0.47619000	0.47342739	-0.69841300	-0.21681455
0.64847100	-0.03369347	-0.64363100	0.20941719
-0.32408600	0.41210160	-0.84478400	0.07493059
0.23712700	-0.02281882	-0.23712700	0.08133854
0.80385800	0.19998032	0.18756700	-0.05090282
0.63259600	0.47009569	-0.34867500	-0.34453514
-0.06775070	0.38234475	-0.09194730	-0.17946488
-0.34843200	-0.05696357	-0.55652300	-0.10805833
-0.20287900	0.16789493	-0.73878400	-0.41771290
0.08858350	0.11434333	0.92256500	0.70224202
0.54761900	0.20556855	-0.17460300	-0.01298594
0.65814900	-0.00728394	-0.64847100	-0.01451110
0.52505700	0.10282739	-0.43928100	0.06473911
0.65873000	0.19807342	-0.59523800	-0.04506341
0.75977500	0.13118288	0.39682500	-0.09824955
0.45301300	0.11300211	-0.75853300	-0.12897339
0.48740500	0.10218264	0.12508600	-0.10594079
0.15079400	-0.03313775	0.30952400	0.04468291
0.42102200	0.14521100	-0.75493600	-0.28492025
0.27777800	0.03253985	-0.46031700	-0.06410831
0.35863700	0.13892454	0.78700900	0.65869331
0.79013900	0.50096774	-0.16856300	0.02601329
0.76461500	0.14160398	0.36778900	0.03326003
0.37262900	0.34209099	-0.75009700	0.26577476
0.76719600	0.35415784	0.19179900	0.15580413
0.45238100	0.61952889	-0.72222200	-0.12984589
0.66695400	0.06415121	-0.65261000	0.52053350
-0.03174600	0.09075803	-0.03968250	-0.13908936
0.02419670	0.12872840	0.17421600	0.22456129
0.78397200	0.07996820	0.36778900	0.28604499
0.74603200	0.25800508	0.16666700	0.05776006
0.90157400	0.80699795	-0.16437500	-0.21300939
0.13492100	0.14375761	0.91269800	0.70595014
0.89682500	0.29734936	0.23809500	-0.11206764
0.16666700	0.15568806	0.82539700	0.65585881
-0.06349210	-0.04306710	-0.56349200	-0.16329968
0.01587300	0.30875331	0.54761900	0.29110768
0.82539700	0.37420812	-0.15873000	0.12406038
0.62911300	0.15833941	-0.10162600	0.11714827
0.66666700	0.31059280	0.15079400	-0.13702768
0.07936510	0.52116865	0.35714300	0.03170039
-0.16437500	-0.10476495	-0.79697100	-0.49109003
-0.28571400	0.19559991	-0.61111100	-0.17565766
-0.23809500	0.02345147	-0.85714300	0.00124876
-0.28087500	0.15800057	-0.94417100	-0.17966992
-0.24680600	0.05239248	-0.84204400	-0.00827436
-0.18389500	-0.00816294	-0.73557900	-0.22839555
-0.28571400	-0.04662955	-0.65079400	-0.20149843
0.76945400	0.43044814	-0.17905500	0.00771553
-0.00793651	0.14085115	0.51587300	0.50718057
0.04593480	0.01516557	0.76557900	0.11890231
0.53232700	0.10486385	-0.70170300	-0.27098998
0.08195310	0.24477273	-0.03019320	0.00998267
0.34075200	0.35086516	-0.14234000	-0.32386333
0.64363100	0.07320891	-0.11130500	-0.40503359
0.71428600	0.49795216	0.52380900	0.25040466
0.63879200	0.76609963	0.22260900	0.15346979
0.09523810	0.02083431	0.57142900	0.47578430
0.15802800	-0.04866642	-0.44774500	0.08393212
-0.34127000	-0.07530668	-0.23809500	-0.49275789
0.46825400	0.16956267	-0.67460300	-0.34964412
0.68234600	0.07310156	-0.29519900	0.55689746
-0.21597100	0.02281746	0.13169000	-0.11449634
-0.14034100	0.00548939	0.90011600	0.55035144
