root_mean_squared_error:
[0.42518553137779236, 0.38378021121025085, 0.35823923349380493, 0.344817191362381, 0.33565253019332886, 0.3280239999294281, 0.3220498859882355, 0.31727105379104614, 0.31303468346595764, 0.3095596134662628, 0.30638179183006287, 0.30383989214897156, 0.3011719882488251, 0.29898229241371155, 0.2969735860824585, 0.2949694097042084, 0.2936365306377411, 0.29149067401885986, 0.28997811675071716, 0.28884458541870117, 0.2875238060951233, 0.2861593961715698, 0.2848707437515259, 0.28393009305000305, 0.28279104828834534]
val_root_mean_squared_error:
[0.5205771327018738, 0.5106433033943176, 0.4948718249797821, 0.4682457745075226, 0.46462321281433105, 0.4417911767959595, 0.4449487328529358, 0.435079425573349, 0.4467487335205078, 0.41902267932891846, 0.43210703134536743, 0.4218427836894989, 0.4187290072441101, 0.4395270347595215, 0.44655606150627136, 0.41412153840065, 0.42320170998573303, 0.4211532473564148, 0.41078880429267883, 0.41047927737236023, 0.4200626313686371, 0.41277530789375305, 0.41624802350997925, 0.4113213121891022, 0.42448511719703674]

MobileNetV3Large_AroVal_E25_B32_D0.2_SDG0.01_AUGFULL_SHUFFLE
Images: 3999
Arousal average RMSE: 0.38638470
Valence average RMSE: 0.46045967
Average total RMSE: 0.42342219

GT_aro	pred_aro	GT_val	pred_val
-0.07763980	-0.08950131	-0.17684600	-0.29522365
0.18389500	0.07384561	-0.36778900	-0.37750673
0.53232700	-0.03616151	-0.06291130	-0.21180625
-0.00483933	-0.02988843	0.00483933	-0.03352436
-0.50793600	0.03135249	-0.64285700	-0.09228544
0.48316400	0.60094243	-0.59772900	-0.47605586
0.28571400	0.43120128	-0.30952400	-0.38755977
-0.37926700	-0.06761929	-0.14749300	-0.30112743
0.65814900	-0.03641907	-0.64847100	-0.21845193
0.61111100	-0.07013015	-0.62698400	0.18610489
0.35714300	0.09294672	-0.53968300	-0.03756998
0.11588700	0.07887099	0.53729500	0.64789975
0.79365100	0.45240608	-0.24603200	-0.03934000
-0.37301600	0.08130697	-0.79365100	-0.40502888
0.65331000	0.06513924	-0.64363100	0.56777686
0.93883100	0.18803710	-0.15969800	-0.22875299
-0.22222200	0.05404019	-0.57142900	0.04253312
0.75396800	-0.01567960	-0.23809500	0.06668208
-0.17684600	0.05371016	-0.56504500	0.03725770
-0.23499600	0.03822017	-0.85476700	-0.11359629
0.56349200	-0.02906823	-0.18254000	0.50525606
0.75026800	0.26169306	0.06890210	0.00583923
-0.15276000	-0.00572254	-0.31605600	-0.20312668
0.33391400	0.12259579	-0.30003900	0.44398177
0.08730160	0.02198274	0.61111100	0.52299827
0.73326400	0.65508825	0.22429300	0.11290647
-0.38888900	-0.16049039	-0.76984100	-0.44190133
0.47619000	0.53331453	-0.69841300	-0.10100126
0.64847100	-0.06846473	-0.64363100	0.37907022
-0.32408600	0.08389492	-0.84478400	-0.07477607
0.23712700	-0.08663782	-0.23712700	0.20477897
0.80385800	0.23804283	0.18756700	-0.02845865
0.63259600	0.42485201	-0.34867500	-0.32405257
-0.06775070	0.29975927	-0.09194730	-0.36662328
-0.34843200	-0.07028069	-0.55652300	-0.10014735
-0.20287900	-0.04878922	-0.73878400	-0.37111521
0.08858350	0.11983764	0.92256500	0.67577273
0.54761900	0.01802941	-0.17460300	0.37294799
0.65814900	-0.00545220	-0.64847100	0.11356726
0.52505700	0.14359100	-0.43928100	0.12475674
0.65873000	0.06427225	-0.59523800	-0.09189445
0.75977500	0.06484139	0.39682500	-0.06388180
0.45301300	-0.02273816	-0.75853300	-0.32313365
0.48740500	-0.00977175	0.12508600	0.02871713
0.15079400	-0.07122982	0.30952400	0.00074825
0.42102200	0.10170308	-0.75493600	-0.39028525
0.27777800	0.07460163	-0.46031700	0.21841872
0.35863700	0.25438058	0.78700900	0.70201874
0.79013900	0.85623205	-0.16856300	0.06999536
0.76461500	-0.04548281	0.36778900	-0.13323782
0.37262900	0.17249329	-0.75009700	0.32416469
0.76719600	0.35205913	0.19179900	0.15312310
0.45238100	0.68916947	-0.72222200	0.00202456
0.66695400	-0.02467322	-0.65261000	0.48947489
-0.03174600	0.00498163	-0.03968250	-0.17223625
0.02419670	0.09169468	0.17421600	0.02996071
0.78397200	0.03897271	0.36778900	0.43376452
0.74603200	0.21988350	0.16666700	0.14561400
0.90157400	0.79646212	-0.16437500	-0.10971797
0.13492100	0.09731250	0.91269800	0.67373639
0.89682500	0.20467964	0.23809500	0.08136813
0.16666700	0.08375060	0.82539700	0.65671641
-0.06349210	-0.07281106	-0.56349200	-0.11444649
0.01587300	0.27383885	0.54761900	0.51431423
0.82539700	0.22443575	-0.15873000	0.31934038
0.62911300	0.14247398	-0.10162600	-0.01319320
0.66666700	0.34825957	0.15079400	-0.08726719
0.07936510	0.21409060	0.35714300	0.19164291
-0.16437500	-0.05553314	-0.79697100	0.05858184
-0.28571400	0.11469744	-0.61111100	-0.30481184
-0.23809500	0.04401258	-0.85714300	-0.25838673
-0.28087500	0.08871370	-0.94417100	-0.26103419
-0.24680600	-0.06033946	-0.84204400	-0.05119251
-0.18389500	-0.05047832	-0.73557900	-0.27887553
-0.28571400	-0.11403219	-0.65079400	-0.11308101
0.76945400	0.36090428	-0.17905500	0.06753182
-0.00793651	0.05672082	0.51587300	0.64217746
0.04593480	-0.02390843	0.76557900	0.31107372
0.53232700	0.08010641	-0.70170300	0.28760058
0.08195310	0.13141380	-0.03019320	-0.02300197
0.34075200	0.20526241	-0.14234000	-0.28437519
0.64363100	0.16896911	-0.11130500	-0.32794285
0.71428600	0.61384654	0.52380900	0.37287503
0.63879200	0.85043454	0.22260900	0.28024501
0.09523810	0.00571720	0.57142900	0.54718119
0.15802800	-0.05276900	-0.44774500	0.42660230
-0.34127000	-0.10105749	-0.23809500	-0.50637889
0.46825400	-0.08618791	-0.67460300	-0.33407509
0.68234600	0.01976426	-0.29519900	0.52890688
-0.21597100	-0.03469351	0.13169000	-0.07396826
-0.14034100	-0.02459067	0.90011600	0.54255784
0.45828100	0.23896918	-0.71112500	-0.32702380
0.42586100	0.27041698	-0.72106100	-0.11517306
0.74525700	0.31799769	0.39198600	0.55894321
0.34075200	-0.01521857	-0.59955100	0.44881016
0.47619000	0.23050305	-0.68254000	-0.55680680
0.52264800	0.66215736	-0.76945400	-0.59171462
0.08226870	0.15459973	0.49845100	0.70370710
0.05479180	-0.00298063	-0.04482960	-0.04599537
0.48316400	0.30979630	-0.59772900	0.06200706
-0.46031700	0.04624329	-0.67460300	0.02500301
-0.00862664	0.23891470	-0.00431332	-0.42490566
0.00000000	0.13721292	0.53968300	0.61838186
0.41618300	0.00497289	-0.04355400	0.28259611
0.11130500	0.08733562	0.77429300	0.50743896
0.96395900	0.45764786	-0.05033730	-0.10327928
0.00000000	-0.01305492	0.51587300	0.57671237
0.27100300	0.18575619	-0.09678670	-0.13261826
0.46527300	0.16483158	-0.44967800	-0.17622013
0.94851000	0.78170365	-0.05323270	-0.27552521
0.00431332	0.01241934	0.01725330	0.64919984
0.35714300	0.01071770	-0.83333300	0.03231861
-0.20809100	-0.07235885	-0.36295000	-0.09638985
0.65033300	0.20315804	-0.60712100	-0.40596640
0.67266700	0.10450498	-0.46941500	0.09960568
0.03968250	-0.03861146	-0.03968250	0.15461846
0.00967867	-0.07945977	0.00967867	-0.32269573
0.56295800	0.04469737	-0.19884300	-0.11125018
0.54232800	0.20352705	-0.54894200	0.16020922
0.31746000	0.46210289	-0.50000000	-0.25054467
0.77380900	0.38054883	-0.13888900	-0.30293965
0.30003900	0.57335317	-0.32423500	-0.00507951
-0.16935600	-0.35182500	-0.89161200	-0.92559636
0.05323270	0.02676019	0.78881100	0.56064218
0.90011600	0.05470595	-0.09678670	-0.13005008
0.03174600	0.53461903	0.84920600	-0.17497633
0.43650800	0.43702132	-0.87301600	-0.28805733
-0.20016900	0.20010546	0.20016900	-0.30678099
0.09481670	0.04156471	0.50568900	0.72504944
-0.45301300	-0.12684548	-0.22123900	-0.37723672
0.00431332	0.18894053	0.00431332	-0.10535289
-0.16611300	-0.03249576	0.82553100	0.57092541
0.79365100	0.14609830	-0.11614400	-0.05548038
-0.18013800	0.26446682	-0.68139100	-0.40281320
0.86140100	0.47290674	-0.05807200	0.12202530
0.79365100	0.65044069	-0.07936510	-0.02587477
0.36747800	0.06916156	-0.30623200	-0.00075909
-0.34359300	-0.07426327	-0.72590000	-0.25981337
0.65814900	0.12914215	-0.60007700	0.01436645
0.77429300	0.33805227	-0.03387530	-0.07804023
0.80952400	0.07735155	-0.08730160	-0.32169402
0.84910500	0.98204374	-0.06265660	-0.26548046
0.37262900	0.02000408	-0.15969800	0.57718736
0.48309200	0.19364500	-0.16821900	-0.34344596
-0.00483933	0.27058369	-0.90495600	-0.26973158
0.48393300	-0.00766245	-0.45005800	0.57769698
0.90011600	0.27305514	-0.10162600	-0.00778510
0.00793651	-0.01846437	0.00793651	0.08144233
0.61943500	0.12177626	-0.07259000	-0.11575891
0.16460000	0.09191708	0.71198900	0.76071358
-0.37752900	-0.02110414	-0.64935100	-0.11784872
-0.25403500	0.17259982	-0.79697100	-0.42538470
0.50085600	0.06908010	0.22148400	0.15227044
-0.64285700	0.02103575	-0.07142860	0.21654789
-0.46031700	0.18467766	-0.80158700	-0.05731462
0.40545200	0.46233916	0.09920630	-0.15844996
