root_mean_squared_error:
[0.36465147137641907, 0.30451470613479614, 0.2899409532546997, 0.28436386585235596, 0.28032737970352173, 0.27790722250938416, 0.2756401002407074, 0.27364030480384827, 0.2723401188850403, 0.2708710730075836]
val_root_mean_squared_error:
[0.4664843678474426, 0.42034271359443665, 0.4028071463108063, 0.4031345844268799, 0.405394583940506, 0.406780481338501, 0.3971327543258667, 0.40948233008384705, 0.3924395740032196, 0.3969707787036896]

ShuffleNet_AroVal_E10_B8_Channels128_Adam0.001_AUGFULL_SHUFFLE
Images: 3999
Arousal average RMSE: 0.35949884
Valence average RMSE: 0.42447185
Average total RMSE: 0.39198534

GT_aro	pred_aro	GT_val	pred_val
-0.07763980	-0.00635990	-0.17684600	-0.12556058
0.18389500	0.04706777	-0.36778900	-0.06210206
0.53232700	0.16432175	-0.06291130	-0.10831846
-0.00483933	0.02971559	0.00483933	-0.00734974
-0.50793600	-0.02864658	-0.64285700	-0.20710242
0.48316400	0.54233754	-0.59772900	-0.44863412
0.28571400	0.56051916	-0.30952400	-0.37675124
-0.37926700	0.02416323	-0.14749300	-0.35224730
0.65814900	0.01668019	-0.64847100	-0.14980757
0.61111100	0.00890400	-0.62698400	-0.05417615
0.35714300	0.11704920	-0.53968300	-0.19613534
0.11588700	0.08892068	0.53729500	0.65025580
0.79365100	0.76249588	-0.24603200	-0.17467901
-0.37301600	0.00465150	-0.79365100	-0.48998800
0.65331000	0.02648148	-0.64363100	0.44302633
0.93883100	0.28702885	-0.15969800	-0.22920075
-0.22222200	0.14470495	-0.57142900	-0.23493400
0.75396800	0.03894708	-0.23809500	0.02555732
-0.17684600	0.04107022	-0.56504500	0.04103877
-0.23499600	-0.01945714	-0.85476700	-0.59793663
0.56349200	-0.00552686	-0.18254000	0.48250058
0.75026800	0.25506833	0.06890210	0.02014044
-0.15276000	0.07390780	-0.31605600	-0.13613194
0.33391400	0.06731918	-0.30003900	0.28902555
0.08730160	0.02205566	0.61111100	0.51844138
0.73326400	0.79043907	0.22429300	0.01395755
