root_mean_squared_error:
[0.2818838059902191, 0.278023898601532, 0.27519187331199646, 0.2725237309932709, 0.270809143781662, 0.2689330577850342, 0.2673962116241455]
val_root_mean_squared_error:
[0.4058819115161896, 0.4033612906932831, 0.39987221360206604, 0.4103410243988037, 0.38561636209487915, 0.38641682267189026, 0.40639257431030273]

ShuffleNet_AroVal_E10_B8_Channels200_Adam0.001_AUGFULL_SHUFFLE
Images: 3999
Arousal average RMSE: 0.36664124
Valence average RMSE: 0.40763684
Average total RMSE: 0.38713904

GT_aro	pred_aro	GT_val	pred_val
-0.07763980	-0.01969089	-0.17684600	-0.26100403
0.18389500	0.07464854	-0.36778900	-0.14361525
0.53232700	0.28594124	-0.06291130	-0.10208787
-0.00483933	0.00759162	0.00483933	-0.06717327
-0.50793600	-0.14416647	-0.64285700	-0.44903818
0.48316400	0.44763237	-0.59772900	-0.40115151
0.28571400	0.30210418	-0.30952400	-0.38667035
-0.37926700	-0.06554006	-0.14749300	-0.43785635
0.65814900	-0.05021925	-0.64847100	-0.22010630
0.61111100	-0.00820106	-0.62698400	0.22261882
0.35714300	0.14907920	-0.53968300	-0.32779369
0.11588700	0.13649942	0.53729500	0.69834816
0.79365100	0.51259905	-0.24603200	-0.15062331
-0.37301600	0.14408082	-0.79365100	-0.58942544
0.65331000	0.00480381	-0.64363100	0.51378119
0.93883100	0.16400591	-0.15969800	-0.33723634
-0.22222200	0.15108815	-0.57142900	-0.35523576
0.75396800	-0.03941169	-0.23809500	-0.08577316
-0.17684600	0.02756797	-0.56504500	-0.14932428
-0.23499600	-0.14624120	-0.85476700	-0.78501940
0.56349200	-0.02138813	-0.18254000	0.54616505
0.75026800	0.01268297	0.06890210	-0.06645125
-0.15276000	0.09019969	-0.31605600	-0.40652210
0.33391400	0.05261374	-0.30003900	0.52442962
0.08730160	0.02471849	0.61111100	0.55386317
0.73326400	0.79934955	0.22429300	0.18460025
-0.38888900	-0.16617616	-0.76984100	-0.52540398
0.47619000	0.72531050	-0.69841300	-0.32241473
0.64847100	-0.02115768	-0.64363100	0.46764827
-0.32408600	-0.10040553	-0.84478400	-0.32095313
0.23712700	-0.02361467	-0.23712700	0.06490488
0.80385800	0.74684221	0.18756700	0.14711921
0.63259600	0.45026028	-0.34867500	-0.44101378
-0.06775070	-0.02106576	-0.09194730	-0.39201239
-0.34843200	-0.06732105	-0.55652300	-0.20239115
-0.20287900	-0.14579977	-0.73878400	-0.58708078
0.08858350	0.10654896	0.92256500	0.74110091
0.54761900	0.06912021	-0.17460300	-0.04943116
0.65814900	-0.00746828	-0.64847100	0.05209607
0.52505700	0.05353044	-0.43928100	-0.08014937
0.65873000	0.24317767	-0.59523800	-0.17762920
0.75977500	0.12305652	0.39682500	-0.13110948
0.45301300	0.23369662	-0.75853300	-0.33099613
0.48740500	0.01205333	0.12508600	0.11632842
0.15079400	0.00685348	0.30952400	0.00588157
0.42102200	0.03941820	-0.75493600	-0.35064298
0.27777800	0.20403950	-0.46031700	-0.16535860
0.35863700	0.27033556	0.78700900	0.69816905
0.79013900	0.73223150	-0.16856300	-0.06019566
0.76461500	0.07244627	0.36778900	-0.07815671
0.37262900	0.15604690	-0.75009700	0.43060523
0.76719600	0.47434729	0.19179900	0.31801870
0.45238100	0.70596796	-0.72222200	-0.00342467
0.66695400	-0.01021565	-0.65261000	0.57663393
-0.03174600	0.15870321	-0.03968250	-0.08354318
0.02419670	0.01498052	0.17421600	0.50600731
0.78397200	0.02498550	0.36778900	0.00505462
0.74603200	0.34361923	0.16666700	0.09695266
0.90157400	0.75158644	-0.16437500	-0.23756495
0.13492100	0.16090247	0.91269800	0.70228016
0.89682500	0.05280416	0.23809500	-0.18253146
0.16666700	0.19177447	0.82539700	0.72305793
-0.06349210	-0.03109106	-0.56349200	-0.31660736
0.01587300	0.35658497	0.54761900	0.62194324
0.82539700	0.10693696	-0.15873000	0.27268001
0.62911300	0.07893011	-0.10162600	0.19983323
0.66666700	0.18641080	0.15079400	-0.21630117
0.07936510	0.26221478	0.35714300	-0.06414974
-0.16437500	-0.16434799	-0.79697100	-0.76657951
-0.28571400	0.08327474	-0.61111100	-0.47908652
-0.23809500	0.18431479	-0.85714300	-0.23116839
-0.28087500	-0.22075708	-0.94417100	-0.82061940
-0.24680600	-0.13132234	-0.84204400	-0.41380998
-0.18389500	-0.03166223	-0.73557900	-0.37625051
-0.28571400	-0.15493779	-0.65079400	-0.61625880
0.76945400	0.41803008	-0.17905500	0.00789143
