root_mean_squared_error:
[0.3922507166862488, 0.34401923418045044, 0.3223249018192291, 0.30797383189201355, 0.29854246973991394, 0.2917892336845398, 0.2875162959098816, 0.28381720185279846, 0.28045207262039185, 0.2778964638710022]
val_root_mean_squared_error:
[0.4680320620536804, 0.4625324010848999, 0.41642332077026367, 0.4348505139350891, 0.4176977574825287, 0.4268537163734436, 0.4076855480670929, 0.42928215861320496, 0.41393670439720154, 0.42024746537208557]

ShuffleNetV2_AroVal_E10_B8_SC0.5_BOTTLENECK1_Adam0.0001_AUGFULL_SHUFFLE
Images: 3999
Arousal average RMSE: 0.38813157
Valence average RMSE: 0.46700884
Average total RMSE: 0.42757021

GT_aro	pred_aro	GT_val	pred_val
-0.07763980	-0.00704150	-0.17684600	-0.19029465
0.18389500	0.11544904	-0.36778900	-0.14560845
0.53232700	0.05933983	-0.06291130	-0.11900441
-0.00483933	0.00525229	0.00483933	0.05710383
-0.50793600	0.05886201	-0.64285700	-0.12497696
0.48316400	0.78017783	-0.59772900	-0.53008330
0.28571400	0.49487016	-0.30952400	-0.40503600
-0.37926700	0.11502761	-0.14749300	-0.26313189
0.65814900	0.03025185	-0.64847100	-0.09772865
0.61111100	-0.01295025	-0.62698400	0.05553856
0.35714300	0.15699519	-0.53968300	-0.07523189
0.11588700	0.06939629	0.53729500	0.67931902
0.79365100	0.46600109	-0.24603200	0.48684222
-0.37301600	0.05513395	-0.79365100	-0.55584699
0.65331000	0.06549168	-0.64363100	0.58286083
0.93883100	0.23646913	-0.15969800	-0.29387033
-0.22222200	0.12176596	-0.57142900	-0.19872671
0.75396800	0.08300731	-0.23809500	-0.12902060
-0.17684600	-0.05578104	-0.56504500	0.08419450
-0.23499600	0.07126865	-0.85476700	-0.29335102
0.56349200	-0.03424128	-0.18254000	0.59022427
0.75026800	0.14745514	0.06890210	0.08858636
-0.15276000	0.09658746	-0.31605600	-0.12957525
0.33391400	0.19478969	-0.30003900	0.41514018
0.08730160	0.04796223	0.61111100	0.49443763
0.73326400	0.77074534	0.22429300	0.12203735
-0.38888900	0.10534775	-0.76984100	-0.05045418
0.47619000	0.71073687	-0.69841300	-0.30001658
0.64847100	-0.01671189	-0.64363100	0.51577109
-0.32408600	0.02280113	-0.84478400	-0.18845788
0.23712700	-0.03851445	-0.23712700	0.15378237
0.80385800	0.17663901	0.18756700	0.00998020
0.63259600	0.39792192	-0.34867500	-0.38920474
-0.06775070	0.36453307	-0.09194730	-0.28346801
-0.34843200	-0.03260156	-0.55652300	-0.08769210
-0.20287900	0.32948920	-0.73878400	-0.17815176
0.08858350	0.10349961	0.92256500	0.68523204
0.54761900	0.06343733	-0.17460300	0.21761623
0.65814900	-0.03521628	-0.64847100	0.20786420
0.52505700	0.12329219	-0.43928100	0.13028584
0.65873000	0.08308804	-0.59523800	-0.01059711
0.75977500	0.06127052	0.39682500	-0.05437893
0.45301300	0.21511514	-0.75853300	-0.08998676
0.48740500	0.02709763	0.12508600	0.29420832
0.15079400	-0.02212591	0.30952400	0.29949480
0.42102200	0.22857842	-0.75493600	-0.25295570
0.27777800	0.02219765	-0.46031700	0.27526554
0.35863700	0.25166729	0.78700900	0.67698652
0.79013900	0.78092486	-0.16856300	-0.00701640
0.76461500	-0.04510121	0.36778900	-0.26638851
0.37262900	0.18053639	-0.75009700	0.12718999
0.76719600	0.37594381	0.19179900	0.55108082
0.45238100	0.68010378	-0.72222200	-0.05637549
0.66695400	-0.00764038	-0.65261000	0.60255533
-0.03174600	0.40686163	-0.03968250	-0.08687196
0.02419670	0.02675196	0.17421600	0.47899574
0.78397200	0.22145742	0.36778900	-0.15021098
0.74603200	0.17071328	0.16666700	0.18879244
0.90157400	0.87978685	-0.16437500	-0.29976624
0.13492100	0.09256519	0.91269800	0.69056988
0.89682500	0.30760521	0.23809500	-0.08276621
0.16666700	0.15880202	0.82539700	0.72388589
-0.06349210	0.14399981	-0.56349200	-0.25663361
