root_mean_squared_error:
[0.35432982444763184, 0.30799221992492676, 0.29453030228614807, 0.28703099489212036, 0.2819518446922302, 0.27803075313568115, 0.275285542011261, 0.27285289764404297, 0.27053481340408325, 0.26869791746139526]
val_root_mean_squared_error:
[0.42649415135383606, 0.4332147240638733, 0.4479403793811798, 0.4198601245880127, 0.42955467104911804, 0.4222686290740967, 0.408652126789093, 0.40524834394454956, 0.4132539927959442, 0.4140932857990265]

ShuffleNetV2_AroVal_E10_B8_SC0.5_BOTTLENECK1_SGD0.01_AUGFULL_SHUFFLE
Images: 3999
Arousal average RMSE: 0.36673106
Valence average RMSE: 0.44272570
Average total RMSE: 0.40472838

GT_aro	pred_aro	GT_val	pred_val
-0.07763980	-0.01444151	-0.17684600	-0.17170587
0.18389500	0.16839211	-0.36778900	-0.25102869
0.53232700	0.08326066	-0.06291130	-0.11212571
-0.00483933	0.05928916	0.00483933	-0.06987175
-0.50793600	-0.09126417	-0.64285700	-0.35173675
0.48316400	0.73140937	-0.59772900	-0.53113389
0.28571400	0.49355626	-0.30952400	-0.41718856
-0.37926700	-0.07582758	-0.14749300	-0.41630307
0.65814900	0.01813164	-0.64847100	-0.23732069
0.61111100	-0.05281490	-0.62698400	0.14981586
0.35714300	0.38037425	-0.53968300	-0.39021876
0.11588700	0.07009863	0.53729500	0.71321642
0.79365100	0.79613680	-0.24603200	-0.04573593
-0.37301600	0.35751873	-0.79365100	-0.61572802
0.65331000	0.03439614	-0.64363100	0.61497366
0.93883100	0.25547981	-0.15969800	-0.37118694
-0.22222200	0.04229647	-0.57142900	-0.12104732
0.75396800	-0.01101191	-0.23809500	-0.04831977
-0.17684600	0.07599827	-0.56504500	-0.30643728
-0.23499600	-0.04246585	-0.85476700	-0.47139075
0.56349200	-0.01803137	-0.18254000	0.58705413
0.75026800	0.08684085	0.06890210	-0.09369659
-0.15276000	0.03811550	-0.31605600	-0.21869907
0.33391400	0.05526674	-0.30003900	0.29855859
0.08730160	0.04653243	0.61111100	0.50876570
0.73326400	0.83649850	0.22429300	0.04127932
-0.38888900	-0.06004564	-0.76984100	-0.44924441
0.47619000	0.62785375	-0.69841300	-0.15957826
0.64847100	-0.00836249	-0.64363100	0.63222742
-0.32408600	0.04284454	-0.84478400	-0.08893245
0.23712700	-0.01893117	-0.23712700	0.22665446
0.80385800	0.46436787	0.18756700	0.00565561
0.63259600	0.31953371	-0.34867500	-0.28483364
-0.06775070	0.21203648	-0.09194730	-0.23893359
-0.34843200	-0.04824279	-0.55652300	-0.10334170
-0.20287900	0.19612840	-0.73878400	-0.44909421
0.08858350	0.07964821	0.92256500	0.73533392
0.54761900	0.07149646	-0.17460300	0.27141398
0.65814900	-0.02754389	-0.64847100	0.07632507
0.52505700	0.13086990	-0.43928100	-0.09328204
0.65873000	0.08712634	-0.59523800	-0.20990756
0.75977500	0.23947449	0.39682500	-0.14097127
0.45301300	0.18080342	-0.75853300	-0.01670294
0.48740500	0.01113302	0.12508600	0.12695204
0.15079400	-0.03046340	0.30952400	0.38200876
0.42102200	0.25512964	-0.75493600	-0.35446617
0.27777800	0.32281032	-0.46031700	-0.27759382
0.35863700	0.21345900	0.78700900	0.72772026
0.79013900	0.86461067	-0.16856300	-0.01255734
0.76461500	0.00194228	0.36778900	-0.33475396
0.37262900	0.15963970	-0.75009700	0.61288148
0.76719600	0.52164692	0.19179900	0.44073042
0.45238100	0.71614349	-0.72222200	0.00957437
0.66695400	0.01515198	-0.65261000	0.61892021
-0.03174600	0.12516582	-0.03968250	-0.09964475
0.02419670	0.02433544	0.17421600	0.51802164
0.78397200	0.14643681	0.36778900	-0.03278156
0.74603200	0.35685253	0.16666700	0.07066300
0.90157400	0.87292957	-0.16437500	-0.35614112
0.13492100	0.12648907	0.91269800	0.74712241
0.89682500	0.58841968	0.23809500	-0.11631273
0.16666700	0.12306505	0.82539700	0.71437430
-0.06349210	0.03606346	-0.56349200	-0.15462330
0.01587300	0.26002812	0.54761900	0.56829083
0.82539700	0.10963709	-0.15873000	0.50773388
0.62911300	0.49836040	-0.10162600	0.14476804
0.66666700	0.09431333	0.15079400	0.07004207
0.07936510	0.14147343	0.35714300	-0.09524022
-0.16437500	-0.18127821	-0.79697100	-0.73908472
-0.28571400	0.08508792	-0.61111100	-0.26316577
-0.23809500	-0.01983243	-0.85714300	-0.23949736
-0.28087500	-0.05192287	-0.94417100	-0.56144762
-0.24680600	-0.08443455	-0.84204400	-0.16491988
-0.18389500	0.04369475	-0.73557900	-0.26995209
-0.28571400	-0.11795361	-0.65079400	-0.53538287
0.76945400	0.34478515	-0.17905500	-0.09929493
-0.00793651	0.02301821	0.51587300	0.64622056
0.04593480	0.00300584	0.76557900	0.40984923
0.53232700	0.30235103	-0.70170300	-0.59804499
0.08195310	0.10572609	-0.03019320	-0.04723829
0.34075200	0.12069841	-0.14234000	-0.10454661
0.64363100	0.09505028	-0.11130500	-0.35834956
0.71428600	0.61594820	0.52380900	0.11115527
0.63879200	0.76400512	0.22260900	0.13656710
0.09523810	0.01825427	0.57142900	0.53536814
0.15802800	-0.03460744	-0.44774500	0.24857910
-0.34127000	-0.03023186	-0.23809500	-0.51368463
