root_mean_squared_error:
[0.30065658688545227, 0.28667494654655457, 0.27903878688812256, 0.2733198404312134, 0.2693313956260681, 0.26579466462135315, 0.2629261910915375, 0.26015612483024597, 0.2576211094856262]
val_root_mean_squared_error:
[0.43497222661972046, 0.3877720832824707, 0.41430285573005676, 0.40367186069488525, 0.39787012338638306, 0.3837145268917084, 0.40964531898498535, 0.3948054909706116, 0.4084062874317169]

ShuffleNetV2_AroVal_E10_B8_SC1.5_BOTTLENECK1_SGD0.01_AUGFULL_SHUFFLE
Images: 3999
Arousal average RMSE: 0.37549456
Valence average RMSE: 0.40547905
Average total RMSE: 0.39048681

GT_aro	pred_aro	GT_val	pred_val
-0.07763980	-0.00295486	-0.17684600	-0.33797550
0.18389500	0.00182110	-0.36778900	-0.09319369
0.53232700	0.12773350	-0.06291130	-0.19737242
-0.00483933	0.00885026	0.00483933	-0.13383029
-0.50793600	0.06782746	-0.64285700	-0.32041705
0.48316400	0.71284688	-0.59772900	-0.64660370
0.28571400	0.36022532	-0.30952400	-0.48732477
-0.37926700	0.19954523	-0.14749300	-0.45345408
0.65814900	-0.01006776	-0.64847100	-0.32738215
0.61111100	0.00209588	-0.62698400	0.00282767
0.35714300	0.13436225	-0.53968300	-0.24802326
0.11588700	0.08778013	0.53729500	0.62265956
0.79365100	0.63540369	-0.24603200	-0.46202886
-0.37301600	0.19395000	-0.79365100	-0.59253371
0.65331000	0.02983146	-0.64363100	0.47989577
0.93883100	0.06000017	-0.15969800	-0.41817629
-0.22222200	0.07312599	-0.57142900	-0.37175667
0.75396800	-0.02105826	-0.23809500	-0.12149255
-0.17684600	0.08608067	-0.56504500	-0.23398010
-0.23499600	-0.02128454	-0.85476700	-0.47412890
0.56349200	0.00278569	-0.18254000	0.48040128
0.75026800	0.16253525	0.06890210	-0.22126593
-0.15276000	-0.00998931	-0.31605600	-0.31178188
0.33391400	0.15276948	-0.30003900	0.18983451
0.08730160	0.02211121	0.61111100	0.44993353
0.73326400	0.72154701	0.22429300	-0.10395961
-0.38888900	-0.12785496	-0.76984100	-0.46690601
0.47619000	0.48151737	-0.69841300	-0.27427083
0.64847100	0.01773144	-0.64363100	0.28611100
-0.32408600	0.00533266	-0.84478400	-0.08063841
0.23712700	-0.04430474	-0.23712700	0.00204037
0.80385800	0.34240651	0.18756700	-0.06441723
0.63259600	0.48895818	-0.34867500	-0.50717384
-0.06775070	0.10436081	-0.09194730	-0.35303384
-0.34843200	-0.06508139	-0.55652300	-0.16189070
-0.20287900	0.23460238	-0.73878400	-0.53609443
0.08858350	0.13523304	0.92256500	0.65722013
0.54761900	0.01518772	-0.17460300	0.29332864
0.65814900	-0.01944952	-0.64847100	0.18923980
0.52505700	0.00189202	-0.43928100	0.37819704
0.65873000	0.06697170	-0.59523800	-0.23620747
0.75977500	0.16234711	0.39682500	-0.28310639
0.45301300	0.09612688	-0.75853300	-0.36817741
0.48740500	-0.02528423	0.12508600	0.02202687
0.15079400	-0.04561100	0.30952400	0.02793926
0.42102200	0.24173833	-0.75493600	-0.49961829
0.27777800	-0.01773420	-0.46031700	-0.01999551
0.35863700	0.21602824	0.78700900	0.67621404
0.79013900	0.69826317	-0.16856300	-0.24036096
0.76461500	0.12982124	0.36778900	-0.17102163
0.37262900	0.18997338	-0.75009700	0.35158995
0.76719600	0.33467090	0.19179900	0.47077417
0.45238100	0.63489515	-0.72222200	-0.22718458
0.66695400	0.02528486	-0.65261000	0.53057426
-0.03174600	0.11370174	-0.03968250	-0.14580251
0.02419670	0.03648457	0.17421600	0.20835748
0.78397200	0.03169779	0.36778900	0.08366640
0.74603200	0.30814886	0.16666700	0.04210353
0.90157400	0.74135691	-0.16437500	-0.51986611
0.13492100	0.16624144	0.91269800	0.67476678
0.89682500	0.19891241	0.23809500	-0.26389194
0.16666700	0.17548285	0.82539700	0.65330148
-0.06349210	0.07775530	-0.56349200	-0.25766832
0.01587300	0.31857917	0.54761900	0.57112342
0.82539700	0.17928448	-0.15873000	0.29258239
0.62911300	0.47646934	-0.10162600	0.10980326
0.66666700	0.16284002	0.15079400	-0.22469400
0.07936510	0.21178462	0.35714300	0.09959026
-0.16437500	-0.23001511	-0.79697100	-0.86173874
-0.28571400	0.23214494	-0.61111100	-0.48420531
-0.23809500	0.11596914	-0.85714300	-0.34736341
-0.28087500	-0.18719549	-0.94417100	-0.82536691
-0.24680600	0.01168677	-0.84204400	-0.22970431
-0.18389500	-0.04413161	-0.73557900	-0.37002510
-0.28571400	-0.18139626	-0.65079400	-0.60835111
