root_mean_squared_error:
[0.42479681968688965, 0.42483583092689514, 0.42474883794784546, 0.3788168132305145, 0.3271978497505188, 0.31234580278396606, 0.3042645752429962, 0.2982196807861328, 0.29420357942581177, 0.29125773906707764]
val_root_mean_squared_error:
[0.5233986973762512, 0.5483801364898682, 0.5657292008399963, 0.4808926582336426, 0.45057645440101624, 0.4375346302986145, 0.4148978590965271, 0.4364236891269684, 0.4534682333469391, 0.4238303005695343]

SqueezeNet_AroVal_E10_B8_COMPR1.0_D0.2_SGD0.01_AUGFULL_SHUFFLE
Images: 3999
Arousal average RMSE: 0.40895140
Valence average RMSE: 0.43767303
Average total RMSE: 0.42331222

GT_aro	pred_aro	GT_val	pred_val
-0.07763980	0.00547131	-0.17684600	-0.15140723
0.18389500	0.01615822	-0.36778900	-0.19922318
0.53232700	-0.06010842	-0.06291130	-0.25245881
-0.00483933	-0.05030777	0.00483933	-0.04660566
-0.50793600	-0.04053508	-0.64285700	-0.23193170
0.48316400	0.58470684	-0.59772900	-0.60540444
0.28571400	0.41747689	-0.30952400	-0.48456287
-0.37926700	0.02165847	-0.14749300	-0.29518503
0.65814900	-0.07360508	-0.64847100	-0.17023109
0.61111100	-0.03653034	-0.62698400	0.28201649
0.35714300	0.05190576	-0.53968300	-0.26059914
0.11588700	0.04866023	0.53729500	0.63768637
0.79365100	0.74594969	-0.24603200	-0.23237185
-0.37301600	0.10551782	-0.79365100	-0.42786002
0.65331000	0.01285606	-0.64363100	0.46723646
0.93883100	0.12997159	-0.15969800	-0.25160074
-0.22222200	-0.04753156	-0.57142900	-0.18277399
0.75396800	-0.08364548	-0.23809500	0.03892687
-0.17684600	0.12767807	-0.56504500	-0.08249865
-0.23499600	-0.06110866	-0.85476700	-0.34656316
0.56349200	0.00278012	-0.18254000	0.56015515
0.75026800	0.01066101	0.06890210	-0.03243650
-0.15276000	-0.03320553	-0.31605600	-0.25340998
0.33391400	-0.01780640	-0.30003900	0.21760489
0.08730160	0.01367681	0.61111100	0.53121191
0.73326400	0.66331083	0.22429300	0.01750128
-0.38888900	-0.17440240	-0.76984100	-0.24170555
0.47619000	0.52982038	-0.69841300	-0.13101561
0.64847100	-0.03684694	-0.64363100	0.51803559
-0.32408600	0.03478035	-0.84478400	0.03391773
0.23712700	-0.10706702	-0.23712700	0.10589217
0.80385800	0.60574627	0.18756700	0.07930236
0.63259600	0.35496897	-0.34867500	-0.42735308
-0.06775070	0.18447918	-0.09194730	-0.27170998
-0.34843200	-0.04840823	-0.55652300	0.05729389
-0.20287900	-0.12419984	-0.73878400	-0.50473183
0.08858350	0.07351249	0.92256500	0.64802843
0.54761900	0.05685078	-0.17460300	0.09996873
0.65814900	-0.04480025	-0.64847100	0.23540178
0.52505700	-0.05313401	-0.43928100	0.12299137
0.65873000	0.16683447	-0.59523800	-0.10203560
0.75977500	-0.03527400	0.39682500	-0.16395651
0.45301300	0.04530798	-0.75853300	-0.21539371
0.48740500	-0.00345437	0.12508600	0.33191389
0.15079400	-0.07235333	0.30952400	0.10658526
0.42102200	0.04270551	-0.75493600	-0.34467107
0.27777800	-0.01416044	-0.46031700	0.09552202
0.35863700	0.12780079	0.78700900	0.69391376
0.79013900	0.78950250	-0.16856300	0.06587398
0.76461500	-0.09201424	0.36778900	-0.28754175
0.37262900	0.12538858	-0.75009700	0.52590603
0.76719600	0.43988270	0.19179900	0.16920353
0.45238100	0.42379540	-0.72222200	-0.15082105
0.66695400	-0.02370495	-0.65261000	0.54649639
-0.03174600	0.21185288	-0.03968250	-0.17120491
0.02419670	0.02612648	0.17421600	0.50978684
0.78397200	0.09481683	0.36778900	0.31911728
0.74603200	0.09071310	0.16666700	0.11669073
